datalake,engine,query name,conf,latency,benchmark,sf
delta,spark,db18,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,1874.79,ssb,1
delta,spark,db19,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,2573.95,ssb,1
delta,spark,db2,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,2416.36,ssb,1
delta,spark,db21,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,2420.66,ssb,1
delta,spark,db5,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,2924.33,ssb,1
delta,spark,db7,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,7687.73,ssb,1
delta,spark,q1_1,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,10688.5,ssb,1
delta,spark,q2_1,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,1969.98,ssb,1
delta,spark,q2_2,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,4841.65,ssb,1
delta,spark,q4_1,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,3211.96,ssb,1
delta,spark,q4_2,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,6245.83,ssb,1
delta,spark,q4_3,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,8202.17,ssb,1
delta,spark,db14,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,1565.04,ssb,1
delta,spark,db15,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,2255.73,ssb,1
delta,spark,db16,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,7272.81,ssb,1
delta,spark,db17,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,2950.44,ssb,1
delta,spark,db18,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,1573.6,ssb,1
delta,spark,db19,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,3659.81,ssb,1
delta,spark,db2,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,3749.14,ssb,1
delta,spark,db21,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,2100.56,ssb,1
delta,spark,db3,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,2462.73,ssb,1
delta,spark,db5,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,7365.46,ssb,1
delta,spark,db6,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,3715.2,ssb,1
delta,spark,db7,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,1652.41,ssb,1
delta,spark,q1_1,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,5681.37,ssb,1
delta,spark,q2_1,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,5739.19,ssb,1
delta,spark,q2_2,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,4065.34,ssb,1
delta,spark,q4_1,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,5341.06,ssb,1
delta,spark,q4_2,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,1957.19,ssb,1
delta,spark,q4_3,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,1554.16,ssb,1
delta,spark,db11,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,3707.86,ssb,1
delta,spark,db14,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,4945.27,ssb,1
delta,spark,db16,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,3136.92,ssb,1
delta,spark,db18,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,3657.56,ssb,1
delta,spark,db19,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,2953.3,ssb,1
delta,spark,db2,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,1641.92,ssb,1
delta,spark,db3,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,3504.17,ssb,1
delta,spark,db5,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,2476.31,ssb,1
delta,spark,db6,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,4794.17,ssb,1
delta,spark,q1_1,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,3226.13,ssb,1
delta,spark,q2_1,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,2386.33,ssb,1
delta,spark,q2_2,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,4065.17,ssb,1
delta,spark,q4_1,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,7300.9,ssb,1
delta,spark,q4_3,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,1838.69,ssb,1
delta,spark,db1,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,2733.07,ssb,1
delta,spark,db10,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,2834.41,ssb,1
delta,spark,db15,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,1508.99,ssb,1
delta,spark,db17,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,1548.6,ssb,1
delta,spark,db18,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,3076.45,ssb,1
delta,spark,db19,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,2179.14,ssb,1
delta,spark,db5,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,1794.11,ssb,1
delta,spark,db7,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,6199.12,ssb,1
delta,spark,q1_1,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,10820.44,ssb,1
delta,spark,q2_2,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,5932.33,ssb,1
delta,spark,q4_1,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,5481.79,ssb,1
delta,spark,q4_2,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,2571.2,ssb,1
delta,spark,q4_3,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,6620.72,ssb,1
delta,spark,db1,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,2641.07,ssb,1
delta,spark,db10,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,2765.0,ssb,1
delta,spark,db11,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,2191.28,ssb,1
delta,spark,db14,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,1889.58,ssb,1
delta,spark,db15,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,3441.46,ssb,1
delta,spark,db16,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,3818.05,ssb,1
delta,spark,db17,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,3801.92,ssb,1
delta,spark,db18,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,1771.01,ssb,1
delta,spark,db19,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,2672.82,ssb,1
delta,spark,db2,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,4292.71,ssb,1
delta,spark,db21,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,3519.3,ssb,1
delta,spark,db3,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,2792.4,ssb,1
delta,spark,db5,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,4102.78,ssb,1
delta,spark,db6,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,2972.13,ssb,1
delta,spark,db7,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,2799.24,ssb,1
delta,spark,q1_1,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,2237.64,ssb,1
delta,spark,q2_1,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,4953.88,ssb,1
delta,spark,q2_2,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,2049.8,ssb,1
delta,spark,q4_1,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,2545.32,ssb,1
delta,spark,q4_2,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,4641.84,ssb,1
delta,spark,q4_3,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,3373.71,ssb,1
delta,spark,db1,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,2933.36,ssb,1
delta,spark,db10,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,2536.33,ssb,1
delta,spark,db11,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,5500.03,ssb,1
delta,spark,db14,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,5338.04,ssb,1
delta,spark,db15,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,2072.05,ssb,1
delta,spark,db16,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,1628.53,ssb,1
delta,spark,db17,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,1731.55,ssb,1
delta,spark,db18,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,3767.12,ssb,1
delta,spark,db19,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,1902.93,ssb,1
delta,spark,db2,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,1733.19,ssb,1
delta,spark,db21,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,2096.97,ssb,1
delta,spark,db3,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,3327.55,ssb,1
delta,spark,db6,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,3492.87,ssb,1
delta,spark,db7,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,1959.13,ssb,1
delta,spark,q1_1,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,2038.35,ssb,1
delta,spark,q2_1,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,2331.52,ssb,1
delta,spark,q2_2,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,1500.45,ssb,1
delta,spark,q4_1,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,2896.06,ssb,1
delta,spark,q4_2,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,2364.05,ssb,1
delta,spark,q4_3,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,5434.02,ssb,1
delta,spark,db1,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,3098.49,ssb,1
delta,spark,db10,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,2724.24,ssb,1
delta,spark,db11,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,2675.23,ssb,1
delta,spark,db14,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,3577.44,ssb,1
delta,spark,db15,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,1760.85,ssb,1
delta,spark,db17,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,1540.11,ssb,1
delta,spark,db18,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,3884.68,ssb,1
delta,spark,db19,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,1935.14,ssb,1
delta,spark,db3,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,2378.28,ssb,1
delta,spark,db6,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,1932.07,ssb,1
delta,spark,db7,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,2953.2,ssb,1
delta,spark,q1_1,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,6568.47,ssb,1
delta,spark,q2_1,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,1682.48,ssb,1
delta,spark,q2_2,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,2289.09,ssb,1
delta,spark,q4_1,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,3744.21,ssb,1
delta,spark,q4_2,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,2321.72,ssb,1
delta,spark,q4_3,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,6617.43,ssb,1
delta,spark,db1,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2941.47,ssb,1
delta,spark,db10,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,3043.63,ssb,1
delta,spark,db11,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,7068.54,ssb,1
delta,spark,db14,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,3917.83,ssb,1
delta,spark,db15,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,4415.73,ssb,1
delta,spark,db16,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,4077.55,ssb,1
delta,spark,db17,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,4767.57,ssb,1
delta,spark,db18,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2020.95,ssb,1
delta,spark,db19,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2448.67,ssb,1
delta,spark,db2,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,6560.07,ssb,1
delta,spark,db21,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,5452.94,ssb,1
delta,spark,db3,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,5324.96,ssb,1
delta,spark,db5,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,3457.79,ssb,1
delta,spark,db6,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,6970.35,ssb,1
delta,spark,db7,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,1552.84,ssb,1
delta,spark,q2_1,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,7847.83,ssb,1
delta,spark,q4_1,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,1779.9,ssb,1
delta,spark,q4_2,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,5596.6,ssb,1
