datalake,engine,query name,conf,latency,benchmark,sf
hudi,spark,tpch_2_q14,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,3179.64,tpch,10
hudi,spark,tpch_2_q19,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,12114.08,tpch,10
hudi,spark,tpch_2_q20,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,4940.18,tpch,10
hudi,spark,tpch_2_q21,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,3999.99,tpch,10
hudi,spark,tpch_2_q22,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,4865.6,tpch,10
hudi,spark,tpch_2_q3,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,3309.3,tpch,10
hudi,spark,tpch_2_q4,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,2000.87,tpch,10
hudi,spark,tpch_2_q5,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,16852.2,tpch,10
hudi,spark,tpch_2_q7,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,73418.03,tpch,10
hudi,spark,tpch_2_q9,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,15562.65,tpch,10
hudi,spark,tpch_0_q12,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,4607.75,tpch,10
hudi,spark,tpch_0_q13,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,32003.36,tpch,10
hudi,spark,tpch_0_q15,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,5185.27,tpch,10
hudi,spark,tpch_0_q18,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,5385.55,tpch,10
hudi,spark,tpch_0_q2,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,7547.22,tpch,10
hudi,spark,tpch_0_q20,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,3767.4,tpch,10
hudi,spark,tpch_0_q22,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,14914.74,tpch,10
hudi,spark,tpch_0_q3,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,7433.24,tpch,10
hudi,spark,tpch_0_q6,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2142.47,tpch,10
hudi,spark,tpch_0_q8,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,3260.19,tpch,10
hudi,spark,tpch_0_q9,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,4171.82,tpch,10
hudi,spark,tpch_1_q1,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,11337.38,tpch,10
hudi,spark,tpch_1_q10,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,12360.3,tpch,10
hudi,spark,tpch_1_q12,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,9007.36,tpch,10
hudi,spark,tpch_1_q13,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,13095.94,tpch,10
hudi,spark,tpch_1_q16,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,27410.75,tpch,10
hudi,spark,tpch_1_q17,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,22191.61,tpch,10
hudi,spark,tpch_1_q18,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,25186.07,tpch,10
hudi,spark,tpch_1_q19,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,20969.81,tpch,10
hudi,spark,tpch_1_q2,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,6730.72,tpch,10
hudi,spark,tpch_1_q20,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,6989.47,tpch,10
hudi,spark,tpch_1_q3,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,17539.66,tpch,10
hudi,spark,tpch_1_q4,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,28312.2,tpch,10
hudi,spark,tpch_1_q5,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,37060.19,tpch,10
hudi,spark,tpch_1_q7,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,52646.58,tpch,10
hudi,spark,tpch_1_q8,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,3285.32,tpch,10
hudi,spark,tpch_1_q9,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,8727.79,tpch,10
hudi,spark,tpch_2_q1,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,26434.29,tpch,10
hudi,spark,tpch_2_q11,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,18710.1,tpch,10
hudi,spark,tpch_2_q12,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2300.43,tpch,10
hudi,spark,tpch_2_q14,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,4586.9,tpch,10
hudi,spark,tpch_2_q19,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,12712.6,tpch,10
hudi,spark,tpch_2_q20,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,4861.1,tpch,10
hudi,spark,tpch_2_q21,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,5188.91,tpch,10
hudi,spark,tpch_2_q22,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,12413.9,tpch,10
hudi,spark,tpch_2_q3,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2644.74,tpch,10
hudi,spark,tpch_2_q4,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,1824.4,tpch,10
hudi,spark,tpch_2_q5,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2334.2,tpch,10
hudi,spark,tpch_2_q7,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,72563.83,tpch,10
hudi,spark,tpch_2_q9,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,6681.82,tpch,10
hudi,spark,tpch_0_q12,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,6011.85,tpch,10
hudi,spark,tpch_0_q13,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,7117.21,tpch,10
hudi,spark,tpch_0_q15,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,1762.98,tpch,10
hudi,spark,tpch_0_q18,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,9444.19,tpch,10
hudi,spark,tpch_0_q2,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,7151.74,tpch,10
hudi,spark,tpch_0_q20,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,5219.83,tpch,10
hudi,spark,tpch_0_q22,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,4867.23,tpch,10
hudi,spark,tpch_0_q3,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,6229.11,tpch,10
hudi,spark,tpch_0_q6,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,16410.52,tpch,10
hudi,spark,tpch_0_q8,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,9211.62,tpch,10
hudi,spark,tpch_0_q9,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,13508.63,tpch,10
hudi,spark,tpch_1_q1,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,27440.82,tpch,10
hudi,spark,tpch_1_q10,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,13127.57,tpch,10
hudi,spark,tpch_1_q12,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,4049.88,tpch,10
hudi,spark,tpch_1_q13,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,3081.39,tpch,10
hudi,spark,tpch_1_q16,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,3763.92,tpch,10
hudi,spark,tpch_1_q17,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,11865.99,tpch,10
hudi,spark,tpch_1_q18,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,7183.35,tpch,10
hudi,spark,tpch_1_q19,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,7914.62,tpch,10
hudi,spark,tpch_1_q2,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,8314.3,tpch,10
hudi,spark,tpch_1_q20,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,2307.11,tpch,10
hudi,spark,tpch_1_q3,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,5308.74,tpch,10
hudi,spark,tpch_1_q4,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,17811.09,tpch,10
hudi,spark,tpch_1_q5,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,21264.93,tpch,10
hudi,spark,tpch_1_q7,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,44400.7,tpch,10
hudi,spark,tpch_1_q8,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,24784.3,tpch,10
hudi,spark,tpch_1_q9,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,17054.69,tpch,10
hudi,spark,tpch_2_q1,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,7759.43,tpch,10
