datalake,engine,query name,conf,latency,benchmark,sf
iceberg,spark,tpch_0_q13,32.0;107.0;562.0;32.0;10.0;27.0;0;1;1,3159.0,tpch,10
iceberg,spark,tpch_0_q13,32.0;10.0;27.0;32.0;107.0;562.0;0;0;1,3067.0,tpch,10
iceberg,spark,tpch_0_q13,32.0;10.0;27.0;32.0;10.0;27.0;0;1;0,2810.0,tpch,10
iceberg,spark,tpch_0_q14,132.0;27.0;27.0;132.0;27.0;27.0;1;1;1,4223.0,tpch,10
iceberg,spark,tpch_0_q14,8.0;12.0;553.0;132.0;27.0;27.0;0;1;1,4273.0,tpch,10
iceberg,spark,tpch_0_q14,132.0;27.0;27.0;8.0;12.0;553.0;1;0;0,4198.0,tpch,10
iceberg,spark,tpch_0_q14,132.0;27.0;27.0;132.0;27.0;27.0;0;0;1,4297.0,tpch,10
iceberg,spark,tpch_0_q14,8.0;12.0;553.0;132.0;27.0;27.0;1;1;0,4229.0,tpch,10
iceberg,spark,tpch_0_q14,132.0;27.0;27.0;8.0;12.0;553.0;0;1;0,4523.0,tpch,10
iceberg,spark,tpch_0_q14,32.0;10.0;27.0;32.0;10.0;27.0;0;0;1,4362.0,tpch,10
iceberg,spark,tpch_0_q14,32.0;107.0;562.0;32.0;10.0;27.0;0;1;1,4751.0,tpch,10
iceberg,spark,tpch_0_q14,32.0;10.0;27.0;32.0;107.0;562.0;0;0;1,4236.0,tpch,10
iceberg,spark,tpch_0_q14,32.0;10.0;27.0;32.0;10.0;27.0;0;1;0,4327.0,tpch,10
iceberg,spark,tpch_0_q15,132.0;27.0;27.0;132.0;27.0;27.0;1;1;1,7706.0,tpch,10
iceberg,spark,tpch_0_q15,8.0;12.0;553.0;132.0;27.0;27.0;0;1;1,7381.0,tpch,10
iceberg,spark,tpch_0_q15,132.0;27.0;27.0;8.0;12.0;553.0;1;0;0,7043.0,tpch,10
iceberg,spark,tpch_0_q15,132.0;27.0;27.0;132.0;27.0;27.0;0;0;1,7097.0,tpch,10
iceberg,spark,tpch_0_q15,8.0;12.0;553.0;132.0;27.0;27.0;1;1;0,7138.0,tpch,10
iceberg,spark,tpch_0_q15,132.0;27.0;27.0;8.0;12.0;553.0;0;1;0,7344.0,tpch,10
iceberg,spark,tpch_0_q15,32.0;10.0;27.0;32.0;10.0;27.0;0;0;1,7815.0,tpch,10
iceberg,spark,tpch_0_q15,32.0;107.0;562.0;32.0;10.0;27.0;0;1;1,7347.0,tpch,10
