datalake,engine,query name,conf,latency,benchmark,sf
delta,spark,db1,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,1530.31,tpch,1
delta,spark,db10,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,4724.83,tpch,1
delta,spark,db12,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,2782.68,tpch,1
delta,spark,db15,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,2518.33,tpch,1
delta,spark,db17,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,2393.96,tpch,1
delta,spark,db18,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,1754.58,tpch,1
delta,spark,db21,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,3208.51,tpch,1
delta,spark,db5,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,1690.41,tpch,1
delta,spark,db7,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,3171.14,tpch,1
delta,spark,db8,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,2327.55,tpch,1
delta,spark,db1,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,8379.7,tpch,1
