datalake,engine,query name,conf,latency,benchmark,sf
delta,presto,db3,16;200;20;18;18;32;32,4891.0,tpch,1
delta,presto,db4,16;200;20;18;18;32;32,3110.0,tpch,1
delta,presto,db5,16;200;20;18;18;32;32,7523.0,tpch,1
delta,presto,db6,16;200;20;18;18;32;32,2623.0,tpch,1
delta,presto,db7,16;200;20;18;18;32;32,8039.0,tpch,1
delta,presto,db8,16;200;20;18;18;32;32,9634.0,tpch,1
delta,presto,db9,16;200;20;18;18;32;32,9859.0,tpch,1
delta,presto,db1,16;200;20;18;18;32;32,6328.0,tpch,1
delta,presto,db10,16;200;20;18;18;32;32,6465.0,tpch,1
delta,presto,db11,16;200;20;18;18;32;32,2083.0,tpch,1
delta,presto,db12,16;200;20;18;18;32;32,18.0,tpch,1
delta,presto,db13,16;200;20;18;18;32;32,2707.0,tpch,1
delta,presto,db14,16;200;20;18;18;32;32,3101.0,tpch,1
delta,presto,db15,16;200;20;18;18;32;32,3453.0,tpch,1
delta,presto,db16,16;200;20;18;18;32;32,1306.0,tpch,1
delta,presto,db17,16;200;20;18;18;32;32,3228.0,tpch,1
delta,presto,db18,16;200;20;18;18;32;32,3625.0,tpch,1
delta,presto,db19,16;200;20;18;18;32;32,3810.0,tpch,1
delta,presto,db2,16;200;20;18;18;32;32,2506.0,tpch,1
delta,presto,db20,16;200;20;18;18;32;32,4119.0,tpch,1
delta,presto,db21,16;200;20;18;18;32;32,7062.0,tpch,1
delta,presto,db22,16;200;20;18;18;32;32,884.0,tpch,1
delta,presto,db3,16;200;20;18;18;32;32,4788.0,tpch,1
delta,presto,db4,16;200;20;18;18;32;32,2860.0,tpch,1
delta,presto,db5,16;200;20;18;18;32;32,5240.0,tpch,1
delta,presto,db6,16;200;20;18;18;32;32,2434.0,tpch,1
delta,presto,db7,16;200;20;18;18;32;32,5490.0,tpch,1
delta,presto,db8,16;200;20;18;18;32;32,6108.0,tpch,1
delta,presto,db9,16;200;20;18;18;32;32,8170.0,tpch,1
delta,presto,db1,16;200;20;18;18;32;32,6345.0,tpch,1
delta,presto,db10,16;200;20;18;18;32;32,4591.0,tpch,1
delta,presto,db11,16;200;20;18;18;32;32,2987.0,tpch,1
delta,presto,db12,16;200;20;18;18;32;32,4063.0,tpch,1
delta,presto,db13,16;200;20;18;18;32;32,2843.0,tpch,1
delta,presto,db14,16;200;20;18;18;32;32,2876.0,tpch,1
delta,presto,db15,16;200;20;18;18;32;32,3335.0,tpch,1
delta,presto,db16,16;200;20;18;18;32;32,1092.0,tpch,1
delta,presto,db17,16;200;20;18;18;32;32,3623.0,tpch,1
delta,presto,db18,16;200;20;18;18;32;32,3289.0,tpch,1
delta,presto,db19,16;200;20;18;18;32;32,3802.0,tpch,1
delta,presto,db2,16;200;20;18;18;32;32,2158.0,tpch,1
delta,presto,db20,16;200;20;18;18;32;32,3617.0,tpch,1
delta,presto,db21,16;200;20;18;18;32;32,7256.0,tpch,1
delta,presto,db22,16;200;20;18;18;32;32,776.0,tpch,1
delta,presto,db3,16;200;20;18;18;32;32,3668.0,tpch,1
delta,presto,db4,16;200;20;18;18;32;32,2324.0,tpch,1
delta,presto,db5,16;200;20;18;18;32;32,4676.0,tpch,1
delta,presto,db6,16;200;20;18;18;32;32,2437.0,tpch,1
delta,presto,db7,16;200;20;18;18;32;32,5688.0,tpch,1
delta,presto,db8,16;200;20;18;18;32;32,5769.0,tpch,1
delta,presto,db9,16;200;20;18;18;32;32,7147.0,tpch,1
delta,presto,db1,16;200;20;18;18;32;32,7456.0,tpch,1
delta,presto,db10,16;200;20;18;18;32;32,6430.0,tpch,1
delta,presto,db11,16;200;20;18;18;32;32,2480.0,tpch,1
delta,presto,db12,16;200;20;18;18;32;32,3848.0,tpch,1
delta,presto,db13,16;200;20;18;18;32;32,3118.0,tpch,1
delta,presto,db14,16;200;20;18;18;32;32,3467.0,tpch,1
delta,presto,db15,16;200;20;18;18;32;32,3763.0,tpch,1
delta,presto,db16,16;200;20;18;18;32;32,1556.0,tpch,1
delta,presto,db17,16;200;20;18;18;32;32,3365.0,tpch,1
delta,presto,db18,16;200;20;18;18;32;32,4273.0,tpch,1
delta,presto,db19,16;200;20;18;18;32;32,3967.0,tpch,1
delta,presto,db2,16;200;20;18;18;32;32,3327.0,tpch,1
delta,presto,db20,16;200;20;18;18;32;32,4017.0,tpch,1
delta,presto,db21,16;200;20;18;18;32;32,8203.0,tpch,1
delta,presto,db22,16;200;20;18;18;32;32,1071.0,tpch,1
delta,presto,db3,16;200;20;18;18;32;32,3834.0,tpch,1
delta,presto,db4,16;200;20;18;18;32;32,2477.0,tpch,1
delta,presto,db5,16;200;20;18;18;32;32,4878.0,tpch,1
delta,presto,db6,16;200;20;18;18;32;32,2827.0,tpch,1
delta,presto,db7,16;200;20;18;18;32;32,6554.0,tpch,1
delta,presto,db8,16;200;20;18;18;32;32,7508.0,tpch,1
delta,presto,db9,16;200;20;18;18;32;32,7923.0,tpch,1
delta,presto,db1,16;200;20;18;18;32;32,6513.0,tpch,1
delta,presto,db10,16;200;20;18;18;32;32,6687.0,tpch,1
delta,presto,db11,16;200;20;18;18;32;32,1989.0,tpch,1
delta,presto,db12,16;200;20;18;18;32;32,4701.0,tpch,1
delta,presto,db13,16;200;20;18;18;32;32,2597.0,tpch,1
delta,presto,db14,16;200;20;18;18;32;32,3838.0,tpch,1
delta,presto,db15,16;200;20;18;18;32;32,4453.0,tpch,1
delta,presto,db16,16;200;20;18;18;32;32,1158.0,tpch,1
delta,presto,db17,16;200;20;18;18;32;32,3476.0,tpch,1
delta,presto,db18,16;200;20;18;18;32;32,3566.0,tpch,1
delta,presto,db19,16;200;20;18;18;32;32,3831.0,tpch,1
delta,presto,db2,16;200;20;18;18;32;32,2146.0,tpch,1
delta,presto,db20,16;200;20;18;18;32;32,3668.0,tpch,1
delta,presto,db21,16;200;20;18;18;32;32,7980.0,tpch,1
delta,presto,db22,16;200;20;18;18;32;32,1250.0,tpch,1
delta,presto,db3,16;200;20;18;18;32;32,3732.0,tpch,1
delta,presto,db4,16;200;20;18;18;32;32,3109.0,tpch,1
delta,presto,db5,16;200;20;18;18;32;32,5564.0,tpch,1
delta,presto,db6,16;200;20;18;18;32;32,2449.0,tpch,1
delta,presto,db7,16;200;20;18;18;32;32,5210.0,tpch,1
delta,presto,db8,16;200;20;18;18;32;32,6566.0,tpch,1
delta,presto,db9,16;200;20;18;18;32;32,9045.0,tpch,1
delta,presto,db1,16;200;20;18;18;32;32,11846.0,tpch,1
delta,presto,db10,16;200;20;18;18;32;32,15253.0,tpch,1
delta,presto,db11,16;200;20;18;18;32;32,15135.0,tpch,1
delta,presto,db12,16;200;20;18;18;32;32,7828.0,tpch,1
delta,presto,db13,16;200;20;18;18;32;32,12935.0,tpch,1
delta,presto,db14,16;200;20;18;18;32;32,8678.0,tpch,1
delta,presto,db15,16;200;20;18;18;32;32,9706.0,tpch,1
delta,presto,db16,16;200;20;18;18;32;32,186.0,tpch,1
delta,presto,db17,16;200;20;18;18;32;32,9295.0,tpch,1
delta,presto,db18,16;200;20;18;18;32;32,9563.0,tpch,1
delta,presto,db19,16;200;20;18;18;32;32,7232.0,tpch,1
delta,presto,db2,16;200;20;18;18;32;32,15096.0,tpch,1
delta,presto,db20,16;200;20;18;18;32;32,7895.0,tpch,1
delta,presto,db21,16;200;20;18;18;32;32,17852.0,tpch,1
delta,presto,db22,16;200;20;18;18;32;32,3204.0,tpch,1
delta,presto,db3,16;200;20;18;18;32;32,9185.0,tpch,1
delta,presto,db4,16;200;20;18;18;32;32,5048.0,tpch,1
delta,presto,db5,16;200;20;18;18;32;32,13232.0,tpch,1
delta,presto,db6,16;200;20;18;18;32;32,2205.0,tpch,1
