datalake,engine,query name,conf,latency,benchmark,sf
hudi,spark,query51,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,7964.6,tpcds,1
hudi,spark,query52,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,1777.56,tpcds,1
hudi,spark,query53,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,5293.87,tpcds,1
hudi,spark,query54,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,2740.81,tpcds,1
hudi,spark,query55,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,4610.36,tpcds,1
hudi,spark,query56,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,8530.7,tpcds,1
hudi,spark,query57,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,1500.87,tpcds,1
hudi,spark,query58,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,1500.87,tpcds,1
hudi,spark,query59,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,4327.18,tpcds,1
hudi,spark,query6,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,2346.24,tpcds,1
hudi,spark,query60,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,1500.87,tpcds,1
