datalake,engine,query name,conf,latency,benchmark,sf
hudi,trino,query49,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,1023.39,tpcds,1
hudi,trino,query5,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,956.28,tpcds,1
hudi,trino,query50,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,1040.11,tpcds,1
hudi,trino,query51,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,1070.52,tpcds,1
hudi,trino,query52,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,1088.1,tpcds,1
hudi,trino,query53,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,1154.52,tpcds,1
hudi,trino,query54,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,1016.56,tpcds,1
hudi,trino,query55,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,1102.77,tpcds,1
hudi,trino,query56,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,996.3,tpcds,1
hudi,trino,query57,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,1004.31,tpcds,1
hudi,trino,query58,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,1011.14,tpcds,1
hudi,trino,query59,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,966.14,tpcds,1
hudi,trino,query6,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,1066.44,tpcds,1
hudi,trino,query60,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,1132.71,tpcds,1
hudi,trino,query61,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,1755.98,tpcds,1
hudi,trino,query62,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,1781.77,tpcds,1
hudi,trino,query63,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,1601.6,tpcds,1
hudi,trino,query64,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,1558.08,tpcds,1
hudi,trino,query65,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,1862.26,tpcds,1
hudi,trino,query66,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,1552.04,tpcds,1
hudi,trino,query67,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,1536.0,tpcds,1
hudi,trino,query68,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,1605.09,tpcds,1
hudi,trino,query69,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,1810.1,tpcds,1
hudi,trino,query7,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,1595.49,tpcds,1
hudi,trino,query70,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,1567.11,tpcds,1
hudi,trino,query71,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,4261.15,tpcds,1
hudi,trino,query72,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,4606.72,tpcds,1
hudi,trino,query73,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,4549.82,tpcds,1
