datalake,engine,query name,conf,latency,benchmark,sf
iceberg,presto,ssb_q1,0.5;0.5;256.0;1.0;1;128.0MB;32.0MB;10.0;4194304.0,41120.195786,ssb,10
iceberg,presto,ssb_q1,0.499345510453;0.2490164503455;923.0;7.0;60;3372.0MB;947.0MB;921.0;11534336.0,26607.170398,ssb,10
iceberg,presto,ssb_q1,0.7923849821091;0.6932743646204;452.0;3.0;8;221.0MB;404.0MB;285.0;83886080.0,36296.600535000005,ssb,10
iceberg,presto,ssb_q1,0.1967485295327;0.8339510093593;769.0;1.0;35;831.0MB;694.0MB;40.0;9437184.0,56440.085523,ssb,10
iceberg,presto,ssb_q1,0.3020444849932;0.4933289004306;805.0;8.0;17;88.0MB;397.0MB;410.0;23068672.0,26699.516789,ssb,10
iceberg,presto,ssb_q1,0.850606851175;0.8386259325625;974.0;8.0;12;2737.0MB;45.0MB;758.0;9437184.0,32798.799981,ssb,10
iceberg,presto,ssb_q1,0.5572662850396;0.2808265875596;422.0;5.0;13;1365.0MB;262.0MB;781.0;13631488.0,25714.456668,ssb,10
iceberg,presto,ssb_q1,0.626732327192;0.3159100175413;290.0;2.0;18;3794.0MB;45.0MB;106.0;29360128.0,31922.645658,ssb,10
iceberg,presto,ssb_q1,0.8255735280335;0.5810043788473;265.0;8.0;24;3185.0MB;519.0MB;696.0;93323264.0,24739.889953,ssb,10
iceberg,presto,ssb_q1,0.2225872804112;0.3117094553633;322.0;5.0;18;2234.0MB;521.0MB;4.0;71303168.0,30122.057895,ssb,10
iceberg,presto,ssb_q1,0.2939231281018;0.8072550698589;277.0;7.0;35;1233.0MB;478.0MB;378.0;16777216.0,25850.168869,ssb,10
iceberg,presto,ssb_q11,0.5;0.5;256.0;1.0;1;128.0MB;32.0MB;10.0;4194304.0,5971.540234,ssb,10
iceberg,presto,ssb_q11,0.499345510453;0.2490164503455;923.0;7.0;60;3372.0MB;947.0MB;921.0;11534336.0,8790.303844,ssb,10
iceberg,presto,ssb_q11,0.7923849821091;0.6932743646204;452.0;3.0;8;221.0MB;404.0MB;285.0;83886080.0,5915.874893,ssb,10
iceberg,presto,ssb_q11,0.1967485295327;0.8339510093593;769.0;1.0;35;831.0MB;694.0MB;40.0;9437184.0,30828.932511,ssb,10
