datalake,engine,query name,conf,latency,benchmark,sf
hudi,spark,ssb_q14,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,2535.0,ssb,10
hudi,spark,ssb_q14,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,2225.0,ssb,10
hudi,spark,ssb_q14,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,2705.0,ssb,10
hudi,spark,ssb_q14,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,2286.0,ssb,10
hudi,spark,ssb_q14,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,2649.0,ssb,10
hudi,spark,ssb_q14,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,2677.0,ssb,10
hudi,spark,ssb_q16,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,4638.0,ssb,10
hudi,spark,ssb_q16,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,4569.0,ssb,10
hudi,spark,ssb_q16,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,4788.0,ssb,10
hudi,spark,ssb_q16,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,3972.0,ssb,10
hudi,spark,ssb_q16,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,4400.0,ssb,10
hudi,spark,ssb_q16,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,4478.0,ssb,10
hudi,spark,ssb_q16,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,4482.0,ssb,10
hudi,spark,ssb_q16,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,4233.0,ssb,10
hudi,spark,ssb_q16,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,4725.0,ssb,10
hudi,spark,ssb_q16,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,4193.0,ssb,10
hudi,spark,ssb_q16,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,4406.0,ssb,10
hudi,spark,ssb_q16,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,4427.0,ssb,10
hudi,spark,ssb_q16,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,4533.0,ssb,10
hudi,spark,ssb_q16,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,4706.0,ssb,10
hudi,spark,ssb_q17,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,162.0,ssb,10
hudi,spark,ssb_q17,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,188.0,ssb,10
hudi,spark,ssb_q17,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,218.0,ssb,10
hudi,spark,ssb_q17,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,153.0,ssb,10
hudi,spark,ssb_q17,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,179.0,ssb,10
hudi,spark,ssb_q17,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,290.0,ssb,10
hudi,spark,ssb_q17,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,207.0,ssb,10
hudi,spark,ssb_q17,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,151.0,ssb,10
hudi,spark,ssb_q17,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,240.0,ssb,10
hudi,spark,ssb_q17,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,167.0,ssb,10
hudi,spark,ssb_q17,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,250.0,ssb,10
hudi,spark,ssb_q17,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,247.0,ssb,10
hudi,spark,ssb_q17,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,235.0,ssb,10
hudi,spark,ssb_q17,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,185.0,ssb,10
hudi,spark,ssb_q18,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,3087.0,ssb,10
hudi,spark,ssb_q18,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,3417.0,ssb,10
hudi,spark,ssb_q18,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,3260.0,ssb,10
hudi,spark,ssb_q18,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,2995.0,ssb,10
hudi,spark,ssb_q18,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,3406.0,ssb,10
