datalake,engine,query name,conf,latency,benchmark,sf
iceberg,spark,ssb_q42,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,4684.96,ssb,10
iceberg,spark,ssb_q45,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,11465.67,ssb,10
iceberg,spark,ssb_q46,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,11994.41,ssb,10
iceberg,spark,ssb_q48,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,11668.29,ssb,10
iceberg,spark,ssb_q1,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,1591.56,ssb,10
iceberg,spark,ssb_q11,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,9211.56,ssb,10
iceberg,spark,ssb_q13,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,3409.32,ssb,10
iceberg,spark,ssb_q14,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,12065.92,ssb,10
iceberg,spark,ssb_q19,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,5126.83,ssb,10
iceberg,spark,ssb_q22,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,11099.71,ssb,10
iceberg,spark,ssb_q23,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,9135.01,ssb,10
iceberg,spark,ssb_q25,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,12508.56,ssb,10
iceberg,spark,ssb_q27,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,5479.25,ssb,10
