datalake,engine,query name,conf,latency,benchmark,sf
iceberg,spark,q1_1,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,5230.21,ssb,100
iceberg,spark,q1_2,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,4807.9,ssb,100
iceberg,spark,q1_3,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,13646.55,ssb,100
iceberg,spark,q2_1,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,5072.56,ssb,100
iceberg,spark,q2_2,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,2568.77,ssb,100
iceberg,spark,q2_3,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,2151.15,ssb,100
iceberg,spark,q3_1,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,11662.99,ssb,100
iceberg,spark,q3_2,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,7031.77,ssb,100
iceberg,spark,q3_3,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,16375.7,ssb,100
iceberg,spark,q3_4,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,4770.81,ssb,100
