datalake,engine,query name,conf,latency,benchmark,sf
delta,spark,syn_q10,183.2;64.0;169.9;86.5|107.8;14.7;146.3,39894.16,ssb,100
delta,spark,syn_q10,147.4;62.2;153.2;86.1;115.7;69.5;126.3|96.5;295.4;153.1;195.9;274.0;254.5,44180.08,ssb,100
delta,spark,syn_q10,29.5;52.6;166.8;36.4;198.8;173.7;147.6;53.0|65.4;271.7;117.0,39767.52,ssb,100
delta,spark,syn_q10,198.0;187.5;174.9;59.3;159.1;31.1;190.0;24.3|209.5;239.6;120.1;212.6;278.2,20603.07,ssb,100
delta,spark,syn_q10,97.5;34.0;173.8;153.1;178.7;193.5;88.5;94.9|161.3;79.8;148.6,26532.39,ssb,100
delta,spark,syn_q10,195.5;71.2;148.9;52.9;60.1;66.3;25.7|201.2;223.2;69.7;32.6,30638.33,ssb,100
delta,spark,syn_q10,21.5;12.5;51.1;165.5;45.7;29.9;49.6|230.5;100.4;141.7;54.7;156.3,32271.28,ssb,100
delta,spark,syn_q10,51.6;79.1;195.3;174.9;107.6|64.5;90.6;57.6;99.1;262.3;198.0,39753.95,ssb,100
delta,spark,syn_q11,92.6;98.3;17.6;174.9;97.4;19.5;123.9|83.2;107.9;95.9;247.6;167.4,36859.36,ssb,100
delta,spark,syn_q11,65.7;89.2;94.9;66.6;16.8|113.6;20.6;224.2,29326.92,ssb,100
delta,spark,syn_q11,43.3;111.6;34.0;37.5;103.8|110.2;142.8;189.0;276.4;272.0,33285.80,ssb,100
delta,spark,syn_q11,118.1;17.7;72.1;17.3;125.8;147.5;164.4;29.2|108.0;194.7;97.6,48426.30,ssb,100
delta,spark,syn_q11,14.3;190.6;58.8;134.1;177.8;169.0;92.4|240.2;175.6;298.5,34947.16,ssb,100
delta,spark,syn_q11,107.7;172.3;56.3;161.8;81.1;99.9;154.5;93.0|90.3;204.7;185.3;273.8,33462.94,ssb,100
delta,spark,syn_q11,61.8;87.4;13.6;88.7;34.7;60.7|38.2;75.2;215.6;74.1;187.3,21945.25,ssb,100
delta,spark,syn_q11,167.1;121.7;130.6;72.5;83.9;186.7;12.4;74.7|248.6;54.0;257.8;154.7;164.3,41280.23,ssb,100
delta,spark,syn_q11,137.9;58.6;16.1;171.9;193.9|172.8;110.1;70.2;295.6;117.1;94.6,40050.97,ssb,100
delta,spark,syn_q11,95.8;98.8;39.6;121.1;128.6;117.3|298.8;16.8;292.3;171.4;152.3;78.1,63148.18,ssb,100
delta,spark,syn_q11,35.0;125.4;171.4;28.4;51.5;198.5;118.4;43.9|232.4;295.5;293.9;169.5,30089.43,ssb,100
delta,spark,syn_q11,152.7;89.5;123.9;70.7;79.0;30.1|155.7;164.4;75.3;127.2;229.5,35242.50,ssb,100
delta,spark,syn_q11,167.0;95.4;185.5;43.7;64.8;111.2|231.3;200.3;208.2;38.5;178.2,35563.60,ssb,100
delta,spark,syn_q11,195.1;88.0;130.9;127.6;36.3;127.8;199.8|284.2;104.3;82.5;175.1;146.9;36.4,52970.94,ssb,100
delta,spark,syn_q11,14.3;124.3;160.1;84.0;107.2;46.7|142.8;219.7;79.4;146.9,32069.93,ssb,100
delta,spark,syn_q12,156.6;183.8;142.6;125.0;192.3;118.1;148.2;70.6|225.2;149.3;154.9;231.4;100.9,52915.89,ssb,100
delta,spark,syn_q12,53.3;42.4;141.3;87.8;177.2|277.8;255.5;292.0;144.5;270.7,22846.04,ssb,100
delta,spark,syn_q12,39.0;150.2;83.3;190.4;175.9;159.8;82.5|125.8;14.0;239.5;201.9,21267.82,ssb,100
delta,spark,syn_q12,38.7;189.7;51.2;13.1;99.7|107.8;16.3;123.7;98.0;287.0,35298.59,ssb,100
delta,spark,syn_q12,62.8;46.1;125.3;104.8;92.7;171.8;102.6;136.5|288.8;29.4;103.8;148.2;93.9,45179.21,ssb,100
delta,spark,syn_q12,108.6;103.9;51.1;103.2;191.8|108.2;100.1;189.4;187.4,54690.27,ssb,100
delta,spark,syn_q12,34.6;63.6;147.7;163.4;174.2;80.2;194.4;22.0|117.3;81.4;283.9;209.6;273.9;271.7,28755.88,ssb,100
delta,spark,syn_q12,159.5;115.4;119.7;72.9;46.9;34.2;71.1|215.4;186.7;245.9;82.2,45609.31,ssb,100
delta,spark,syn_q12,99.3;13.7;107.1;28.2;152.5;128.5;25.4;103.3|29.4;123.0;66.0;233.3;216.5,32620.96,ssb,100
delta,spark,syn_q12,171.1;21.2;56.9;130.3;72.2;166.7|172.9;237.3;287.4;150.6;101.1;266.1,31334.49,ssb,100
delta,spark,syn_q12,166.6;132.7;192.0;123.5;32.9|223.3;66.5;241.7,43017.44,ssb,100
delta,spark,syn_q12,57.2;81.4;143.1;172.0;66.7;48.8|17.3;199.0;231.1;32.8;144.8,40133.22,ssb,100
delta,spark,syn_q12,94.9;82.6;39.8;94.4;69.7|142.2;67.4;185.9;92.6;180.1,20564.99,ssb,100
delta,spark,syn_q12,191.7;33.5;174.9;115.0;80.1;69.9|169.5;192.4;197.4;124.7;104.7;252.5,51391.34,ssb,100
delta,spark,syn_q12,132.3;71.6;153.7;17.5|219.6;217.0;154.0,49925.65,ssb,100
delta,spark,syn_q13,48.9;88.3;199.2;23.8|218.3;74.0;72.2;117.6;20.6;13.4,41437.49,ssb,100
delta,spark,syn_q13,87.7;198.3;132.2;179.1;179.7;27.8;185.5;126.2|243.6;239.4;165.7,35904.58,ssb,100
delta,spark,syn_q13,18.4;140.9;112.8;134.9;142.2|278.6;152.0;297.8,34047.88,ssb,100
delta,spark,syn_q13,178.6;29.0;105.7;53.6;119.4;10.0;142.3|228.5;171.3;57.6;224.3;294.4,32386.11,ssb,100
delta,spark,syn_q13,14.1;62.3;42.7;39.8;150.1;149.2;47.2;49.7|95.5;27.8;140.3;189.4,26319.71,ssb,100
delta,spark,syn_q13,32.4;183.3;48.8;129.2|252.1;135.2;209.5;251.7;56.1,30335.09,ssb,100
delta,spark,syn_q13,11.4;81.2;111.3;140.0;179.7;30.6;155.2|31.2;130.4;136.0;212.9,19858.27,ssb,100
delta,spark,syn_q13,60.6;108.8;115.4;138.7;190.5|267.1;55.6;299.2;164.5;174.5,32040.66,ssb,100
delta,spark,syn_q13,90.7;126.1;161.0;63.0;59.4;50.7;149.3|66.9;95.7;234.0,24530.82,ssb,100
delta,spark,syn_q13,186.2;176.2;31.9;142.0;181.2;53.7;143.1|172.4;124.4;198.4,23698.95,ssb,100
delta,spark,syn_q13,20.0;44.2;176.4;161.8;55.7|157.4;186.0;266.5,34829.89,ssb,100
delta,spark,syn_q13,112.4;25.9;109.8;27.8;59.6|250.2;22.8;152.2;253.0,50104.37,ssb,100
delta,spark,syn_q13,162.5;51.9;130.9;108.4;128.7|132.4;193.8;33.2,43467.02,ssb,100
delta,spark,syn_q13,97.6;139.5;198.6;74.2;16.3;12.2|234.8;210.4;260.2,20601.37,ssb,100
delta,spark,syn_q13,25.9;41.3;151.0;131.0|34.0;65.2;286.4,24523.19,ssb,100
delta,spark,syn_q14,128.9;193.3;186.3;106.6;164.9;171.8;194.4;186.3|98.2;50.1;229.8;140.9;265.3,25203.10,ssb,100
delta,spark,syn_q14,109.2;150.1;54.3;196.7;194.8;81.0|166.3;27.9;17.5,33280.18,ssb,100
delta,spark,syn_q14,18.9;100.1;99.9;27.8;170.1;170.0;82.2;26.2|36.5;197.9;34.4;55.8;268.4;205.6,32909.85,ssb,100
delta,spark,syn_q14,61.4;41.4;137.4;116.3;105.9;98.0;152.9;119.9|202.7;24.5;22.5;112.8;216.9;85.0,45708.13,ssb,100
delta,spark,syn_q14,160.1;90.5;77.4;18.4|61.3;92.4;269.2;210.4,38050.61,ssb,100
delta,spark,syn_q14,52.6;147.3;77.3;158.0;97.4;161.6;162.9;137.3|62.7;195.6;266.6;278.6;213.6;92.1,32753.16,ssb,100
delta,spark,syn_q14,81.5;113.9;146.9;187.8;91.6;60.5;107.2;38.8|13.4;172.6;39.6;51.3;294.6;113.1,42175.41,ssb,100
delta,spark,syn_q14,166.8;87.3;113.1;33.8;105.5|87.1;126.0;212.0;76.1,50077.40,ssb,100
delta,spark,syn_q14,177.3;36.1;59.1;101.1|184.6;29.8;16.4;251.6;35.9;31.4,39011.27,ssb,100
delta,spark,syn_q14,121.4;153.8;147.7;78.0|299.6;263.2;217.3;41.3,33102.65,ssb,100
delta,spark,syn_q14,100.3;87.5;10.1;45.5;57.2|103.2;158.2;126.2;236.1;213.1,22263.68,ssb,100
delta,spark,syn_q14,78.5;191.7;152.6;104.2;59.8|134.4;198.6;263.2,23974.09,ssb,100
delta,spark,syn_q14,62.0;159.7;89.1;170.6;99.3;150.7|234.0;46.8;85.0,30112.49,ssb,100
delta,spark,syn_q14,118.9;113.9;17.9;112.8;182.4;10.5;86.1;168.3|38.1;33.1;88.6;159.9,27485.37,ssb,100
delta,spark,syn_q14,159.6;169.5;128.3;184.6|284.7;168.3;188.8;166.1;243.4;82.2,31199.94,ssb,100
delta,spark,syn_q15,38.4;23.9;48.3;56.3|272.7;189.9;144.2;174.3;141.6;20.5,40260.54,ssb,100
delta,spark,syn_q15,100.2;24.1;91.0;179.7;54.0;161.6;197.2;45.2|199.1;205.7;18.2;288.2;211.7;289.5,46924.96,ssb,100
delta,spark,syn_q15,128.1;133.3;89.9;55.1;131.1;49.5;129.9;118.6|68.9;184.8;192.7;120.8;99.5,34841.67,ssb,100
delta,spark,syn_q15,191.2;137.7;159.3;131.0|77.6;52.0;56.0;180.0,22364.12,ssb,100
delta,spark,syn_q15,170.0;157.2;102.4;81.8;198.7;117.0|241.9;92.4;12.0;24.5;50.7;290.8,37203.91,ssb,100
delta,spark,syn_q15,85.2;68.7;136.4;92.7;86.2;118.8;122.7|266.6;35.8;246.7;121.8;110.8,27142.49,ssb,100
delta,spark,syn_q15,58.8;72.8;14.4;56.4|212.7;146.4;20.9;224.3;292.8,28160.56,ssb,100
delta,spark,syn_q15,91.1;45.4;98.2;25.0;177.7;117.4;78.0;118.2|74.6;69.7;211.5;182.1;218.5;62.0,39346.88,ssb,100
delta,spark,syn_q15,30.9;110.5;97.9;138.1;91.0;54.6|257.5;188.1;275.7,47846.24,ssb,100
delta,spark,syn_q15,171.5;169.7;155.1;126.2;76.2;63.5;134.9;57.1|228.6;263.7;283.2;94.7;74.2,33211.26,ssb,100
delta,spark,syn_q15,159.3;160.4;68.0;33.0;118.2;124.7|228.4;80.3;214.6;258.7,36203.56,ssb,100
delta,spark,syn_q15,119.9;64.2;119.2;61.2;87.9;13.3|52.4;23.8;105.2;131.8,54991.14,ssb,100
delta,spark,syn_q15,147.4;147.5;51.5;119.4;165.3;132.1;177.6;120.7|38.9;55.7;290.5;299.3;230.5,35471.64,ssb,100
delta,spark,syn_q15,34.5;141.3;31.9;101.0;18.2;72.1;180.9|65.9;192.8;237.5;117.5;147.1,72024.94,ssb,100
delta,spark,syn_q15,35.1;157.8;17.1;11.9;67.3;117.7;171.2;82.5|53.0;187.2;174.3,39101.49,ssb,100
delta,spark,syn_q16,90.8;200.0;83.8;17.7;14.4;123.4;169.8;122.0|208.4;82.2;44.4;38.1;252.2,32649.03,ssb,100
delta,spark,syn_q16,25.7;28.3;177.7;70.5;135.8;115.5;80.2|105.6;51.0;176.3;243.4;53.5,20327.37,ssb,100
delta,spark,syn_q16,45.9;59.4;171.1;12.3|69.0;231.2;90.5;129.2;139.5,46802.16,ssb,100
delta,spark,syn_q16,189.3;125.4;57.6;120.6;143.8;174.0;92.1|217.7;37.7;169.7;87.4,26473.13,ssb,100
delta,spark,syn_q16,163.9;144.2;112.4;27.4|277.0;199.3;158.9;183.0,25879.00,ssb,100
delta,spark,syn_q16,193.9;38.4;179.2;36.7;110.9;105.2|154.1;209.8;272.4,35046.59,ssb,100
delta,spark,syn_q16,53.2;183.4;131.1;46.6;69.2;190.7;52.2|15.0;95.5;56.2;37.5;233.8;285.6,46576.62,ssb,100
delta,spark,syn_q16,143.2;30.4;32.1;89.5;23.2;43.6;130.0;72.2|93.2;261.2;125.3,24331.24,ssb,100
delta,spark,syn_q16,21.6;124.3;51.6;60.3|16.8;34.7;172.9;161.5;142.9;18.6,33616.32,ssb,100
delta,spark,syn_q16,48.1;181.8;117.9;198.1;129.2|111.7;46.3;199.9,37530.45,ssb,100
delta,spark,syn_q16,189.8;145.9;12.2;149.7;92.7;71.8|100.5;220.4;291.5;98.6;61.5,40627.26,ssb,100
delta,spark,syn_q16,195.9;89.6;51.6;130.5;82.7|41.1;35.6;78.6,34793.83,ssb,100
delta,spark,syn_q16,104.9;151.3;128.9;48.9;149.1;103.4|85.2;111.4;288.7;34.1,29559.32,ssb,100
delta,spark,syn_q16,111.6;41.0;70.4;29.3;139.1;166.9;137.0|124.3;296.2;157.7;255.7,25744.74,ssb,100
delta,spark,syn_q16,187.6;187.1;158.8;191.0;172.6;62.5;24.6|266.3;128.5;168.3;158.1;254.8;239.1,33863.94,ssb,100
