datalake,engine,query name,conf,latency,benchmark,sf
iceberg,presto,q1_2,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=24,2407.53,ssb,100
iceberg,presto,q1_3,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=24,1825.67,ssb,100
iceberg,presto,q2_1,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=24,14099.91,ssb,100
iceberg,presto,q2_2,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=24,1865.6,ssb,100
iceberg,presto,q2_3,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=24,1902.14,ssb,100
iceberg,presto,q3_1,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=24,14643.78,ssb,100
iceberg,presto,q3_2,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=24,1812.62,ssb,100
iceberg,presto,q3_3,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=24,1877.77,ssb,100
iceberg,presto,q3_4,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=24,14768.6,ssb,100
iceberg,presto,q4_1,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=24,1901.96,ssb,100
iceberg,presto,q4_2,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=24,2782.87,ssb,100
iceberg,presto,q4_3,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=24,1864.77,ssb,100
iceberg,presto,q1_1,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=16,14979.62,ssb,100
iceberg,presto,q1_2,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=16,14843.5,ssb,100
iceberg,presto,q1_3,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=16,1970.58,ssb,100
iceberg,presto,q2_1,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=16,1955.16,ssb,100
iceberg,presto,q2_2,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=16,1883.81,ssb,100
iceberg,presto,q2_3,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=16,13509.92,ssb,100
iceberg,presto,q3_1,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=16,1873.52,ssb,100
iceberg,presto,q3_2,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=16,11228.18,ssb,100
iceberg,presto,q3_3,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=16,2832.64,ssb,100
iceberg,presto,q3_4,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=16,7536.36,ssb,100
iceberg,presto,q4_1,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=16,14136.78,ssb,100
iceberg,presto,q4_2,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=16,5555.75,ssb,100
iceberg,presto,q4_3,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=16,13819.02,ssb,100
iceberg,presto,q1_1,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=200; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=24; task.max-worker-threads=32,14889.1,ssb,100
iceberg,presto,q1_2,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=200; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=24; task.max-worker-threads=32,7715.88,ssb,100
iceberg,presto,q1_3,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=200; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=24; task.max-worker-threads=32,14022.52,ssb,100
iceberg,presto,q2_1,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=200; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=24; task.max-worker-threads=32,1837.18,ssb,100
iceberg,presto,q2_2,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=200; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=24; task.max-worker-threads=32,4641.51,ssb,100
iceberg,presto,q2_3,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=200; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=24; task.max-worker-threads=32,3685.5,ssb,100
iceberg,presto,q3_1,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=200; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=24; task.max-worker-threads=32,2863.94,ssb,100
iceberg,presto,q3_2,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=200; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=24; task.max-worker-threads=32,13651.19,ssb,100
iceberg,presto,q3_3,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=200; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=24; task.max-worker-threads=32,6077.28,ssb,100
iceberg,presto,q3_4,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=200; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=24; task.max-worker-threads=32,6375.45,ssb,100
iceberg,presto,q4_1,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=200; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=24; task.max-worker-threads=32,13673.87,ssb,100
iceberg,presto,q4_2,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=200; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=24; task.max-worker-threads=32,20054.2,ssb,100
iceberg,presto,q4_3,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=200; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=24; task.max-worker-threads=32,2882.37,ssb,100
iceberg,presto,q1_1,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=16,7820.83,ssb,100
iceberg,presto,q1_2,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=16,1855.58,ssb,100
