datalake,engine,query name,conf,latency,benchmark,sf
delta,trino,job_17d,28.2;14.7;11.8;15.2;130.3;32.1;99.8|0.0;1.0;1.0,1642.21,job,10
delta,trino,job_17d,57.8;16.3;17.7;28.3;15.5;102.6;159.4|0.0;0.0;1.0,162919.87,job,10
delta,trino,job_17d,110.5;13.9;20.9;37.5;263.6;249.5;301.9|1.0;0.0;1.0,194471.72,job,10
delta,trino,job_17d,19.7;18.1;14.9;18.4;30.4;30.2;205.7|1.0;0.0;0.0,155301.28,job,10
delta,trino,job_17d,57.3;16.6;26.7;17.2;15.6;102.0;152.6|1.0;0.0;0.0,189150.50,job,10
delta,trino,job_17d,21.0;18.5;17.3;17.0;30.8;31.3;205.3|1.0;1.1;1.0,164922.60,job,10
delta,trino,job_17d,96.0;14.0;18.4;38.5;268.3;222.1;287.7|0.0;0.0;0.0,224369.96,job,10
delta,trino,job_17d,110.0;13.4;37.9;20.4;270.3;247.5;273.3|1.0;1.0;0.0,186950.72,job,10
delta,trino,job_17d,19.6;17.9;14.9;17.2;31.2;34.0;190.1|0.0;0.0;1.0,216375.27,job,10
delta,trino,job_17d,97.8;14.0;18.7;37.6;258.9;246.3;276.0|0.0;1.0;0.0,226961.71,job,10
delta,trino,job_17d,28.3;14.1;10.2;14.4;118.2;35.2;98.4|0.0;0.0;0.0,197082.88,job,10
delta,trino,job_17d,21.3;16.9;16.6;16.9;33.7;30.3;206.5|0.0;0.9;1.0,184696.76,job,10
delta,trino,job_17d,32.4;16.2;15.1;11.2;138.2;30.7;103.9|1.1;0.9;1.1,165224.10,job,10
delta,trino,job_17d,61.5;16.9;27.1;17.4;15.7;109.1;160.9|1.0;1.1;0.9,201033.23,job,10
delta,trino,job_17d,62.2;17.4;29.6;15.9;15.3;106.9;158.6|0.0;0.0;0.0,222457.86,job,10
delta,trino,job_17b,30.5;15.0;10.8;14.8;121.9;34.3;102.3|0.0;0.9;1.0,1810.68,job,10
delta,trino,job_17b,20.1;17.8;18.6;15.1;29.6;33.5;215.9|1.1;1.1;1.0,168874.13,job,10
delta,trino,job_17b,28.1;13.9;10.4;16.0;123.4;30.5;109.7|0.0;0.0;0.0,220004.68,job,10
