datalake,engine,query name,conf,latency,benchmark,sf
hudi,spark,job_11a,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,3001.0,job,10
hudi,spark,job_11a,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,3410.0,job,10
hudi,spark,job_11b,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,1787.0,job,10
hudi,spark,job_11b,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,3377.0,job,10
hudi,spark,job_11b,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,2488.0,job,10
hudi,spark,job_11b,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,3316.0,job,10
hudi,spark,job_11b,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,3059.0,job,10
hudi,spark,job_11b,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,3502.0,job,10
hudi,spark,job_11b,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,3253.0,job,10
hudi,spark,job_11b,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,2684.0,job,10
hudi,spark,job_11b,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,2546.0,job,10
hudi,spark,job_11b,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,3136.0,job,10
hudi,spark,job_11b,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,3007.0,job,10
hudi,spark,job_11b,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,3201.0,job,10
hudi,spark,job_11b,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,3007.0,job,10
hudi,spark,job_11b,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,2456.0,job,10
hudi,spark,job_11c,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,2625.0,job,10
hudi,spark,job_11c,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,2632.0,job,10
hudi,spark,job_11c,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,2479.0,job,10
hudi,spark,job_11c,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,2268.0,job,10
hudi,spark,job_11c,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,2167.0,job,10
hudi,spark,job_11c,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,1889.0,job,10
hudi,spark,job_11c,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,2978.0,job,10
hudi,spark,job_11c,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,2242.0,job,10
hudi,spark,job_11c,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,2352.0,job,10
hudi,spark,job_11c,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,2806.0,job,10
hudi,spark,job_11c,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,2200.0,job,10
hudi,spark,job_11c,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,2892.0,job,10
hudi,spark,job_11c,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,1979.0,job,10
hudi,spark,job_11c,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,2149.0,job,10
hudi,spark,job_11d,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,5240.0,job,10
hudi,spark,job_11d,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,4794.0,job,10
hudi,spark,job_11d,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,6867.0,job,10
hudi,spark,job_11d,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,5616.0,job,10
hudi,spark,job_11d,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,5966.0,job,10
hudi,spark,job_11d,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,5751.0,job,10
hudi,spark,job_11d,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,5223.0,job,10
hudi,spark,job_11d,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,6624.0,job,10
hudi,spark,job_11d,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,5445.0,job,10
hudi,spark,job_11d,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,5478.0,job,10
hudi,spark,job_11d,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,5653.0,job,10
hudi,spark,job_11d,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,5005.0,job,10
hudi,spark,job_11d,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,4974.0,job,10
hudi,spark,job_11d,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,6227.0,job,10
hudi,spark,job_12a,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,3532.0,job,10
hudi,spark,job_12a,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,4304.0,job,10
hudi,spark,job_12a,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,4935.0,job,10
hudi,spark,job_12a,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,3947.0,job,10
hudi,spark,job_12a,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,3623.0,job,10
hudi,spark,job_12a,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,5168.0,job,10
hudi,spark,job_12a,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,5434.0,job,10
hudi,spark,job_12a,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,3800.0,job,10
hudi,spark,job_12a,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,5467.0,job,10
hudi,spark,job_12a,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,3704.0,job,10
hudi,spark,job_12a,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,5070.0,job,10
hudi,spark,job_12a,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,3710.0,job,10
hudi,spark,job_12a,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,5641.0,job,10
hudi,spark,job_12a,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,3603.0,job,10
hudi,spark,job_12b,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,6145.0,job,10
hudi,spark,job_12b,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,6470.0,job,10
hudi,spark,job_12b,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,6910.0,job,10
hudi,spark,job_12b,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,6551.0,job,10
hudi,spark,job_12b,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,6185.0,job,10
hudi,spark,job_12b,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,7135.0,job,10
hudi,spark,job_12b,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,7363.0,job,10
hudi,spark,job_12b,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,6407.0,job,10
hudi,spark,job_12b,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,7451.0,job,10
hudi,spark,job_12b,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,6160.0,job,10
hudi,spark,job_12b,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,6945.0,job,10
hudi,spark,job_12b,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,6244.0,job,10
hudi,spark,job_12b,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,7586.0,job,10
hudi,spark,job_12b,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,8666.0,job,10
hudi,spark,job_12c,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,3715.0,job,10
hudi,spark,job_12c,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,3826.0,job,10
hudi,spark,job_12c,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,5180.0,job,10
hudi,spark,job_12c,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,3526.0,job,10
hudi,spark,job_12c,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,3852.0,job,10
hudi,spark,job_12c,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,5949.0,job,10
hudi,spark,job_12c,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,5453.0,job,10
hudi,spark,job_12c,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,3655.0,job,10
hudi,spark,job_12c,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,5445.0,job,10
hudi,spark,job_12c,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,3660.0,job,10
hudi,spark,job_12c,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,4926.0,job,10
hudi,spark,job_12c,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,3652.0,job,10
hudi,spark,job_12c,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,5182.0,job,10
hudi,spark,job_12c,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,3759.0,job,10
hudi,spark,job_13a,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,6323.0,job,10
hudi,spark,job_13a,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,5893.0,job,10
hudi,spark,job_13a,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,7591.0,job,10
hudi,spark,job_13a,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,5805.0,job,10
hudi,spark,job_13a,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,6357.0,job,10
hudi,spark,job_13a,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,7170.0,job,10
hudi,spark,job_13a,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,7480.0,job,10
hudi,spark,job_13a,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,5782.0,job,10
hudi,spark,job_13a,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,6823.0,job,10
hudi,spark,job_13a,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,6155.0,job,10
