query_id,engine_id,lake_id,config,latency
job_20c,1,0,52.0;15.0;19.0;15.0;32.0;103.0;141.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0,12552.0
job_20c,1,0,20.0;15.0;12.0;25.0;8.0;241.0;284.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0,17876.0
job_20c,1,0,16.0;6.0;17.0;6.0;256.0;171.0;235.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0,17593.0
job_20c,1,0,79.0;31.0;25.0;31.0;64.0;11.0;214.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0,14550.0
job_20c,1,0,64.0;18.0;17.0;18.0;256.0;185.0;271.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0,16257.0
job_20c,1,0,32.0;10.0;24.0;10.0;128.0;40.0;119.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0,12441.0
job_20c,1,1,20.0;18.0;16.0;18.0;32.0;32.0;200.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0,14111.0
job_20c,1,1,103.0;14.0;20.0;36.0;256.0;237.0;280.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0,15501.0
job_20c,1,1,30.0;15.0;11.0;15.0;128.0;33.0;106.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0,14916.0
job_20c,1,1,106.0;36.0;13.0;39.0;64.0;95.0;135.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0,13201.0
job_20c,1,1,96.0;26.0;13.0;26.0;128.0;145.0;142.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0,15436.0
job_20c,1,1,79.0;31.0;25.0;31.0;64.0;11.0;214.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0,13301.0
job_20c,1,1,64.0;18.0;17.0;18.0;256.0;185.0;271.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0,14270.0
job_20c,1,1,32.0;10.0;24.0;10.0;128.0;40.0;119.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0,14950.0
job_20c,1,1,48.0;14.0;13.0;14.0;64.0;128.0;211.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0,14881.0
