datalake,engine,query name,conf,latency,benchmark,sf
delta,spark,q1_1,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,1722.6,ssb-flat,1
delta,spark,q2_1,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,7430.17,ssb-flat,1
delta,spark,q2_2,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,7613.32,ssb-flat,1
delta,spark,q4_1,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,6670.53,ssb-flat,1
delta,spark,q1_1,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,8087.36,ssb-flat,1
delta,spark,q2_1,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,9232.26,ssb-flat,1
delta,spark,q2_2,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,4627.33,ssb-flat,1
delta,spark,q2_3,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,1800.56,ssb-flat,1
delta,spark,q4_1,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,6398.4,ssb-flat,1
delta,spark,q2_3,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,6575.85,ssb-flat,1
delta,spark,q3_1,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,6279.95,ssb-flat,1
delta,spark,q3_2,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,6067.14,ssb-flat,1
delta,spark,q1_1,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,2755.82,ssb-flat,1
delta,spark,q2_1,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,9575.91,ssb-flat,1
delta,spark,q2_2,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,1607.01,ssb-flat,1
