datalake,engine,query name,conf,latency,benchmark,sf
delta,presto,q3_1,16;200;20;18;18;32;32,968.0,ssb-flat,1
delta,presto,q3_2,16;200;20;18;18;32;32,845.0,ssb-flat,1
delta,presto,q3_3,16;200;20;18;18;32;32,687.0,ssb-flat,1
delta,presto,q3_4,16;200;20;18;18;32;32,532.0,ssb-flat,1
delta,presto,q4_1,16;200;20;18;18;32;32,903.0,ssb-flat,1
delta,presto,q4_2,16;200;20;18;18;32;32,803.0,ssb-flat,1
delta,presto,q4_3,16;200;20;18;18;32;32,671.0,ssb-flat,1
delta,presto,q1_1,16;200;20;18;18;32;32,1795.0,ssb-flat,1
delta,presto,q1_2,16;200;20;18;18;32;32,1802.0,ssb-flat,1
delta,presto,q1_3,16;200;20;18;18;32;32,556.0,ssb-flat,1
delta,presto,q2_1,16;200;20;18;18;32;32,1445.0,ssb-flat,1
delta,presto,q2_2,16;200;20;18;18;32;32,1116.0,ssb-flat,1
delta,presto,q2_3,16;200;20;18;18;32;32,860.0,ssb-flat,1
delta,presto,q3_1,16;200;20;18;18;32;32,992.0,ssb-flat,1
delta,presto,q3_2,16;200;20;18;18;32;32,984.0,ssb-flat,1
delta,presto,q3_3,16;200;20;18;18;32;32,825.0,ssb-flat,1
delta,presto,q3_4,16;200;20;18;18;32;32,630.0,ssb-flat,1
delta,presto,q4_1,16;200;20;18;18;32;32,952.0,ssb-flat,1
delta,presto,q4_2,16;200;20;18;18;32;32,868.0,ssb-flat,1
delta,presto,q4_3,16;200;20;18;18;32;32,816.0,ssb-flat,1
delta,presto,q1_1,16;200;20;18;18;32;32,1544.0,ssb-flat,1
delta,presto,q1_2,16;200;20;18;18;32;32,1574.0,ssb-flat,1
delta,presto,q1_3,16;200;20;18;18;32;32,504.0,ssb-flat,1
delta,presto,q2_1,16;200;20;18;18;32;32,972.0,ssb-flat,1
delta,presto,q2_2,16;200;20;18;18;32;32,1803.0,ssb-flat,1
delta,presto,q2_3,16;200;20;18;18;32;32,644.0,ssb-flat,1
delta,presto,q3_1,16;200;20;18;18;32;32,830.0,ssb-flat,1
delta,presto,q3_2,16;200;20;18;18;32;32,768.0,ssb-flat,1
delta,presto,q3_3,16;200;20;18;18;32;32,580.0,ssb-flat,1
delta,presto,q3_4,16;200;20;18;18;32;32,469.0,ssb-flat,1
delta,presto,q4_1,16;200;20;18;18;32;32,838.0,ssb-flat,1
delta,presto,q4_2,16;200;20;18;18;32;32,702.0,ssb-flat,1
delta,presto,q4_3,16;200;20;18;18;32;32,690.0,ssb-flat,1
delta,presto,q1_1,16;200;20;18;18;32;32,2341.0,ssb-flat,1
delta,presto,q1_2,16;200;20;18;18;32;32,872.0,ssb-flat,1
delta,presto,q1_3,16;200;20;18;18;32;32,1621.0,ssb-flat,1
delta,presto,q2_1,16;200;20;18;18;32;32,3728.0,ssb-flat,1
delta,presto,q2_2,16;200;20;18;18;32;32,2552.0,ssb-flat,1
delta,presto,q2_3,16;200;20;18;18;32;32,1737.0,ssb-flat,1
delta,presto,q3_1,16;200;20;18;18;32;32,2298.0,ssb-flat,1
delta,presto,q3_2,16;200;20;18;18;32;32,2165.0,ssb-flat,1
delta,presto,q3_3,16;200;20;18;18;32;32,1618.0,ssb-flat,1
delta,presto,q3_4,16;200;20;18;18;32;32,1385.0,ssb-flat,1
delta,presto,q4_1,16;200;20;18;18;32;32,2048.0,ssb-flat,1
delta,presto,q4_2,16;200;20;18;18;32;32,1550.0,ssb-flat,1
delta,presto,q4_3,16;200;20;18;18;32;32,1643.0,ssb-flat,1
delta,presto,q1_1,16;200;20;18;18;32;32,1876.0,ssb-flat,1
delta,presto,q1_2,16;200;20;18;18;32;32,1452.0,ssb-flat,1
delta,presto,q1_3,16;200;20;18;18;32;32,542.0,ssb-flat,1
delta,presto,q2_1,16;200;20;18;18;32;32,2224.0,ssb-flat,1
delta,presto,q2_2,16;200;20;18;18;32;32,978.0,ssb-flat,1
delta,presto,q2_3,16;200;20;18;18;32;32,788.0,ssb-flat,1
delta,presto,q3_1,16;200;20;18;18;32;32,1117.0,ssb-flat,1
delta,presto,q3_2,16;200;20;18;18;32;32,927.0,ssb-flat,1
delta,presto,q3_3,16;200;20;18;18;32;32,735.0,ssb-flat,1
delta,presto,q3_4,16;200;20;18;18;32;32,583.0,ssb-flat,1
delta,presto,q4_1,16;200;20;18;18;32;32,1048.0,ssb-flat,1
delta,presto,q4_2,16;200;20;18;18;32;32,850.0,ssb-flat,1
delta,presto,q4_3,16;200;20;18;18;32;32,762.0,ssb-flat,1
delta,presto,q1_1,16;200;20;18;18;32;32,1709.0,ssb-flat,1
delta,presto,q1_2,16;200;20;18;18;32;32,1956.0,ssb-flat,1
delta,presto,q1_3,16;200;20;18;18;32;32,750.0,ssb-flat,1
delta,presto,q2_1,16;200;20;18;18;32;32,2160.0,ssb-flat,1
delta,presto,q2_2,16;200;20;18;18;32;32,2495.0,ssb-flat,1
delta,presto,q2_3,16;200;20;18;18;32;32,1085.0,ssb-flat,1
delta,presto,q3_1,16;200;20;18;18;32;32,1465.0,ssb-flat,1
delta,presto,q3_2,16;200;20;18;18;32;32,1401.0,ssb-flat,1
delta,presto,q3_3,16;200;20;18;18;32;32,1074.0,ssb-flat,1
delta,presto,q3_4,16;200;20;18;18;32;32,911.0,ssb-flat,1
delta,presto,q4_1,16;200;20;18;18;32;32,1244.0,ssb-flat,1
delta,presto,q4_2,16;200;20;18;18;32;32,1078.0,ssb-flat,1
delta,presto,q4_3,16;200;20;18;18;32;32,973.0,ssb-flat,1
