datalake,engine,query name,conf,latency,benchmark,sf
iceberg,presto,ssb_flat_q_08,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,5393.97,ssb-flat,10
iceberg,presto,ssb_flat_q_11,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,3469.54,ssb-flat,10
iceberg,presto,ssb_flat_q_12,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,8705.59,ssb-flat,10
iceberg,presto,ssb_flat_q_14,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,3432.75,ssb-flat,10
iceberg,presto,ssb_flat_q_21,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,5043.07,ssb-flat,10
iceberg,presto,ssb_flat_q_22,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,5413.7,ssb-flat,10
iceberg,presto,ssb_flat_q_25,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,5924.02,ssb-flat,10
iceberg,presto,ssb_flat_q_26,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,5684.42,ssb-flat,10
iceberg,presto,ssb_flat_q_27,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,4168.11,ssb-flat,10
iceberg,presto,ssb_flat_queries,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,4649.94,ssb-flat,10
iceberg,presto,ssb_flat_q_01,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=32,6380.05,ssb-flat,10
iceberg,presto,ssb_flat_q_02,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=32,9114.77,ssb-flat,10
iceberg,presto,ssb_flat_q_03,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=32,5025.04,ssb-flat,10
