datalake,engine,query name,conf,latency,benchmark,sf
delta,spark,ssb_flat_q_12,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,6077.03,ssb-flat,10
delta,spark,ssb_flat_q_14,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,3928.08,ssb-flat,10
delta,spark,ssb_flat_q_21,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,1997.5,ssb-flat,10
delta,spark,ssb_flat_q_22,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,3932.08,ssb-flat,10
delta,spark,ssb_flat_q_25,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,5008.45,ssb-flat,10
delta,spark,ssb_flat_q_26,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,9998.62,ssb-flat,10
delta,spark,ssb_flat_q_27,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,16136.02,ssb-flat,10
delta,spark,ssb_flat_queries,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,4506.68,ssb-flat,10
delta,spark,ssb_flat_q_01,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,15017.73,ssb-flat,10
delta,spark,ssb_flat_q_02,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,5158.49,ssb-flat,10
delta,spark,ssb_flat_q_03,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,3750.02,ssb-flat,10
delta,spark,ssb_flat_q_04,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,7199.9,ssb-flat,10
delta,spark,ssb_flat_q_06,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,2480.48,ssb-flat,10
delta,spark,ssb_flat_q_07,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,2796.34,ssb-flat,10
delta,spark,ssb_flat_q_08,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,10861.92,ssb-flat,10
delta,spark,ssb_flat_q_11,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,5710.28,ssb-flat,10
delta,spark,ssb_flat_q_12,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,7460.95,ssb-flat,10
delta,spark,ssb_flat_q_14,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,13671.71,ssb-flat,10
delta,spark,ssb_flat_q_21,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,15334.69,ssb-flat,10
delta,spark,ssb_flat_q_22,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,6685.4,ssb-flat,10
delta,spark,ssb_flat_q_25,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,7757.19,ssb-flat,10
delta,spark,ssb_flat_q_26,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,2067.94,ssb-flat,10
delta,spark,ssb_flat_q_27,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,2077.1,ssb-flat,10
delta,spark,ssb_flat_queries,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,8954.84,ssb-flat,10
delta,spark,ssb_flat_q_01,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,3292.18,ssb-flat,10
delta,spark,ssb_flat_q_02,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,1913.55,ssb-flat,10
delta,spark,ssb_flat_q_03,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,16048.27,ssb-flat,10
delta,spark,ssb_flat_q_04,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,9308.21,ssb-flat,10
delta,spark,ssb_flat_q_06,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,2076.35,ssb-flat,10
delta,spark,ssb_flat_q_07,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,4070.2,ssb-flat,10
delta,spark,ssb_flat_q_08,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,2062.02,ssb-flat,10
delta,spark,ssb_flat_q_11,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,5530.16,ssb-flat,10
delta,spark,ssb_flat_q_12,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,2001.94,ssb-flat,10
delta,spark,ssb_flat_q_14,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,2756.31,ssb-flat,10
delta,spark,ssb_flat_q_21,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,2090.29,ssb-flat,10
delta,spark,ssb_flat_q_22,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,1905.39,ssb-flat,10
delta,spark,ssb_flat_q_25,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,1957.6,ssb-flat,10
delta,spark,ssb_flat_q_26,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,11387.92,ssb-flat,10
delta,spark,ssb_flat_q_27,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,15793.33,ssb-flat,10
delta,spark,ssb_flat_queries,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,1971.34,ssb-flat,10
delta,spark,ssb_flat_q_01,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,6338.12,ssb-flat,10
delta,spark,ssb_flat_q_02,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,9140.81,ssb-flat,10
delta,spark,ssb_flat_q_03,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,2169.45,ssb-flat,10
delta,spark,ssb_flat_q_04,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,7006.95,ssb-flat,10
delta,spark,ssb_flat_q_06,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,11799.13,ssb-flat,10
delta,spark,ssb_flat_q_07,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,4589.45,ssb-flat,10
delta,spark,ssb_flat_q_08,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,4628.16,ssb-flat,10
delta,spark,ssb_flat_q_11,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,7121.81,ssb-flat,10
delta,spark,ssb_flat_q_12,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,8270.17,ssb-flat,10
delta,spark,ssb_flat_q_14,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,5018.37,ssb-flat,10
delta,spark,ssb_flat_q_21,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,8411.78,ssb-flat,10
delta,spark,ssb_flat_q_22,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,4413.29,ssb-flat,10
delta,spark,ssb_flat_q_25,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,6111.22,ssb-flat,10
delta,spark,ssb_flat_q_26,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,6577.2,ssb-flat,10
delta,spark,ssb_flat_q_27,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,5289.48,ssb-flat,10
delta,spark,ssb_flat_queries,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,6524.06,ssb-flat,10
delta,spark,ssb_flat_q_01,spark.executor.memory=2g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,14895.1,ssb-flat,10
delta,spark,ssb_flat_q_02,spark.executor.memory=2g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,8700.18,ssb-flat,10
delta,spark,ssb_flat_q_03,spark.executor.memory=2g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,4839.5,ssb-flat,10
delta,spark,ssb_flat_q_04,spark.executor.memory=2g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,13212.25,ssb-flat,10
delta,spark,ssb_flat_q_06,spark.executor.memory=2g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,15233.22,ssb-flat,10
delta,spark,ssb_flat_q_07,spark.executor.memory=2g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,2007.9,ssb-flat,10
delta,spark,ssb_flat_q_08,spark.executor.memory=2g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,15142.59,ssb-flat,10
delta,spark,ssb_flat_q_11,spark.executor.memory=2g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,18187.8,ssb-flat,10
delta,spark,ssb_flat_q_12,spark.executor.memory=2g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,15094.34,ssb-flat,10
delta,spark,ssb_flat_q_14,spark.executor.memory=2g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,16089.0,ssb-flat,10
delta,spark,ssb_flat_q_21,spark.executor.memory=2g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,11500.7,ssb-flat,10
delta,spark,ssb_flat_q_22,spark.executor.memory=2g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,4181.21,ssb-flat,10
delta,spark,ssb_flat_q_25,spark.executor.memory=2g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,15036.86,ssb-flat,10
delta,spark,ssb_flat_q_26,spark.executor.memory=2g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,5581.88,ssb-flat,10
delta,spark,ssb_flat_q_27,spark.executor.memory=2g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,2164.42,ssb-flat,10
delta,spark,ssb_flat_queries,spark.executor.memory=2g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,14458.24,ssb-flat,10
delta,spark,ssb_flat_q_01,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,16005.34,ssb-flat,10
delta,spark,ssb_flat_q_02,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,15064.98,ssb-flat,10
delta,spark,ssb_flat_q_03,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2086.47,ssb-flat,10
delta,spark,ssb_flat_q_04,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,15636.84,ssb-flat,10
delta,spark,ssb_flat_q_06,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,5768.28,ssb-flat,10
delta,spark,ssb_flat_q_07,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2660.91,ssb-flat,10
delta,spark,ssb_flat_q_08,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2774.47,ssb-flat,10
delta,spark,ssb_flat_q_11,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2255.3,ssb-flat,10
delta,spark,ssb_flat_q_12,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,5452.02,ssb-flat,10
delta,spark,ssb_flat_q_14,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,3918.74,ssb-flat,10
delta,spark,ssb_flat_q_21,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,15949.71,ssb-flat,10
delta,spark,ssb_flat_q_22,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,3689.06,ssb-flat,10
delta,spark,ssb_flat_q_25,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,3630.86,ssb-flat,10
delta,spark,ssb_flat_q_26,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2389.65,ssb-flat,10
delta,spark,ssb_flat_q_27,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2010.63,ssb-flat,10
delta,spark,ssb_flat_queries,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,6765.05,ssb-flat,10
delta,spark,ssb_flat_q_01,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,15018.63,ssb-flat,10
delta,spark,ssb_flat_q_02,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,2384.38,ssb-flat,10
delta,spark,ssb_flat_q_03,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,15440.04,ssb-flat,10
delta,spark,ssb_flat_q_04,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,8064.51,ssb-flat,10
delta,spark,ssb_flat_q_06,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,1989.16,ssb-flat,10
delta,spark,ssb_flat_q_07,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,2710.56,ssb-flat,10
delta,spark,ssb_flat_q_08,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,8812.65,ssb-flat,10
delta,spark,ssb_flat_q_11,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,8365.0,ssb-flat,10
delta,spark,ssb_flat_q_12,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,3683.35,ssb-flat,10
delta,spark,ssb_flat_q_14,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,12832.82,ssb-flat,10
delta,spark,ssb_flat_q_21,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,4827.07,ssb-flat,10
delta,spark,ssb_flat_q_22,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,5216.53,ssb-flat,10
delta,spark,ssb_flat_q_25,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,4728.59,ssb-flat,10
delta,spark,ssb_flat_q_26,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,3477.49,ssb-flat,10
delta,spark,ssb_flat_q_27,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,2093.99,ssb-flat,10
delta,spark,ssb_flat_queries,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,5961.99,ssb-flat,10
delta,spark,ssb_flat_q_01,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2029.28,ssb-flat,10
delta,spark,ssb_flat_q_02,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,4575.65,ssb-flat,10
delta,spark,ssb_flat_q_03,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2042.89,ssb-flat,10
delta,spark,ssb_flat_q_04,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2069.5,ssb-flat,10
delta,spark,ssb_flat_q_06,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2064.71,ssb-flat,10
delta,spark,ssb_flat_q_07,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,14370.95,ssb-flat,10
delta,spark,ssb_flat_q_08,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,4150.58,ssb-flat,10
delta,spark,ssb_flat_q_11,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2349.21,ssb-flat,10
delta,spark,ssb_flat_q_12,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,4135.35,ssb-flat,10
delta,spark,ssb_flat_q_14,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2537.05,ssb-flat,10
delta,spark,ssb_flat_q_21,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,16028.69,ssb-flat,10
delta,spark,ssb_flat_q_22,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,14615.93,ssb-flat,10
delta,spark,ssb_flat_q_25,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,4963.92,ssb-flat,10
delta,spark,ssb_flat_q_26,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2354.06,ssb-flat,10
delta,spark,ssb_flat_q_27,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,8633.19,ssb-flat,10
delta,spark,ssb_flat_queries,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2297.75,ssb-flat,10
delta,spark,ssb_flat_q_01,64.0;18.0;26.0;64.0;18.0;26.0|1;1;0,4045.0,ssb-flat,10
delta,spark,ssb_flat_q_01,64.0;116.0;549.0;64.0;18.0;26.0|1;0;0,4917.0,ssb-flat,10
delta,spark,ssb_flat_q_01,64.0;18.0;26.0;64.0;116.0;549.0|1;1;0,2574.0,ssb-flat,10
