datalake,engine,query name,conf,latency,benchmark,sf
delta,presto,ssb_flat_q_09,0.5572662850396;0.2808265875596;422.0;5.0;13|,938.0462475495251,ssb-flat,10
delta,presto,ssb_flat_q_09,0.8255735280335;0.5810043788473;265.0;8.0;24|,951.210415924433,ssb-flat,10
delta,presto,ssb_flat_q_09,0.2939231281018;0.8072550698589;277.0;7.0;35|,716.0501443157618,ssb-flat,10
delta,presto,ssb_flat_q_09,0.2225872804112;0.3117094553633;322.0;5.0;18|,842.5615730953429,ssb-flat,10
delta,presto,ssb_flat_q_11,0.2939231281018;0.8072550698589;277.0;7.0;35|,1155.9016503714784,ssb-flat,10
delta,presto,ssb_flat_q_12,0.2939231281018;0.8072550698589;277.0;7.0;35|,1877.8152498853274,ssb-flat,10
delta,presto,ssb_flat_q_14,0.3020444849932;0.4933289004306;805.0;8.0;17|,1271.2273543057263,ssb-flat,10
delta,presto,ssb_flat_q_14,0.850606851175;0.8386259325625;974.0;8.0;12|,1082.6741695103108,ssb-flat,10
delta,presto,ssb_flat_q_14,0.5;0.5;256.0;1.0;1|,1931.9365980139576,ssb-flat,10
delta,presto,ssb_flat_q_14,0.7923849821091;0.6932743646204;452.0;3.0;8|,1414.3784143860585,ssb-flat,10
delta,presto,ssb_flat_q_14,0.626732327192;0.3159100175413;290.0;2.0;18|,1525.4004522980467,ssb-flat,10
delta,presto,ssb_flat_q_14,0.499345510453;0.2490164503455;923.0;7.0;60|,1426.5266608427282,ssb-flat,10
delta,presto,ssb_flat_q_14,0.5572662850396;0.2808265875596;422.0;5.0;13|,1240.8975311904678,ssb-flat,10
delta,presto,ssb_flat_q_14,0.8255735280335;0.5810043788473;265.0;8.0;24|,1232.6671568780216,ssb-flat,10
delta,presto,ssb_flat_q_14,0.2939231281018;0.8072550698589;277.0;7.0;35|,1184.9624733037563,ssb-flat,10
delta,presto,ssb_flat_q_14,0.2225872804112;0.3117094553633;322.0;5.0;18|,939.3600632812949,ssb-flat,10
delta,presto,ssb_flat_q_15,0.3020444849932;0.4933289004306;805.0;8.0;17|,1583.4686601729888,ssb-flat,10
delta,presto,ssb_flat_q_15,0.850606851175;0.8386259325625;974.0;8.0;12|,1536.679203751173,ssb-flat,10
delta,presto,ssb_flat_q_15,0.7923849821091;0.6932743646204;452.0;3.0;8|,1830.941552109303,ssb-flat,10
delta,presto,ssb_flat_q_15,0.499345510453;0.2490164503455;923.0;7.0;60|,1897.5470916653833,ssb-flat,10
delta,presto,ssb_flat_q_15,0.5572662850396;0.2808265875596;422.0;5.0;13|,1079.5238558561146,ssb-flat,10
delta,presto,ssb_flat_q_15,0.8255735280335;0.5810043788473;265.0;8.0;24|,1718.9684212927477,ssb-flat,10
delta,presto,ssb_flat_q_15,0.2939231281018;0.8072550698589;277.0;7.0;35|,1112.2268540178595,ssb-flat,10
delta,presto,ssb_flat_q_15,0.2225872804112;0.3117094553633;322.0;5.0;18|,1214.6080495425895,ssb-flat,10
delta,presto,ssb_flat_q_17,0.3020444849932;0.4933289004306;805.0;8.0;17|,806.5696824028091,ssb-flat,10
delta,presto,ssb_flat_q_17,0.850606851175;0.8386259325625;974.0;8.0;12|,801.5143865394316,ssb-flat,10
delta,presto,ssb_flat_q_17,0.5;0.5;256.0;1.0;1|,1717.6390623497794,ssb-flat,10
delta,presto,ssb_flat_q_17,0.7923849821091;0.6932743646204;452.0;3.0;8|,835.282235622545,ssb-flat,10
delta,presto,ssb_flat_q_17,0.626732327192;0.3159100175413;290.0;2.0;18|,958.9645865984945,ssb-flat,10
delta,presto,ssb_flat_q_17,0.499345510453;0.2490164503455;923.0;7.0;60|,1016.133050029888,ssb-flat,10
delta,presto,ssb_flat_q_17,0.5572662850396;0.2808265875596;422.0;5.0;13|,663.8359601120733,ssb-flat,10
delta,presto,ssb_flat_q_17,0.8255735280335;0.5810043788473;265.0;8.0;24|,994.3222000160724,ssb-flat,10
delta,presto,ssb_flat_q_17,0.2939231281018;0.8072550698589;277.0;7.0;35|,676.9563894138552,ssb-flat,10
delta,presto,ssb_flat_q_17,0.2225872804112;0.3117094553633;322.0;5.0;18|,598.6001475124758,ssb-flat,10
delta,presto,ssb_flat_q_18,0.3020444849932;0.4933289004306;805.0;8.0;17|,1288.226954689136,ssb-flat,10
delta,presto,ssb_flat_q_18,0.850606851175;0.8386259325625;974.0;8.0;12|,1696.611528503244,ssb-flat,10
delta,presto,ssb_flat_q_18,0.5;0.5;256.0;1.0;1|,2692.8180869991857,ssb-flat,10
delta,presto,ssb_flat_q_18,0.7923849821091;0.6932743646204;452.0;3.0;8|,1355.8851074120116,ssb-flat,10
delta,presto,ssb_flat_q_18,0.626732327192;0.3159100175413;290.0;2.0;18|,1420.2135615440739,ssb-flat,10
delta,presto,ssb_flat_q_18,0.499345510453;0.2490164503455;923.0;7.0;60|,1761.348012268246,ssb-flat,10
delta,presto,ssb_flat_q_18,0.5572662850396;0.2808265875596;422.0;5.0;13|,1092.5561357041202,ssb-flat,10
delta,presto,ssb_flat_q_18,0.8255735280335;0.5810043788473;265.0;8.0;24|,1749.5891906921477,ssb-flat,10
delta,presto,ssb_flat_q_18,0.2939231281018;0.8072550698589;277.0;7.0;35|,1391.442500175117,ssb-flat,10
delta,presto,ssb_flat_q_18,0.2225872804112;0.3117094553633;322.0;5.0;18|,1184.9957445920518,ssb-flat,10
delta,presto,ssb_flat_q_21,0.3020444849932;0.4933289004306;805.0;8.0;17|,1045.479211282074,ssb-flat,10
delta,presto,ssb_flat_q_21,0.850606851175;0.8386259325625;974.0;8.0;12|,935.3721369777708,ssb-flat,10
delta,presto,ssb_flat_q_21,0.5;0.5;256.0;1.0;1|,1557.5555926101513,ssb-flat,10
delta,presto,ssb_flat_q_21,0.7923849821091;0.6932743646204;452.0;3.0;8|,816.5088908436602,ssb-flat,10
delta,presto,ssb_flat_q_21,0.626732327192;0.3159100175413;290.0;2.0;18|,1137.1178101409573,ssb-flat,10
delta,presto,ssb_flat_q_21,0.499345510453;0.2490164503455;923.0;7.0;60|,1105.8509824127539,ssb-flat,10
delta,presto,ssb_flat_q_21,0.5572662850396;0.2808265875596;422.0;5.0;13|,872.578023234667,ssb-flat,10
delta,presto,ssb_flat_q_21,0.8255735280335;0.5810043788473;265.0;8.0;24|,911.258073583332,ssb-flat,10
delta,presto,ssb_flat_q_21,0.2939231281018;0.8072550698589;277.0;7.0;35|,609.7160599272192,ssb-flat,10
delta,presto,ssb_flat_q_21,0.2225872804112;0.3117094553633;322.0;5.0;18|,827.1351468204792,ssb-flat,10
delta,presto,ssb_flat_q_22,0.3020444849932;0.4933289004306;805.0;8.0;17|,1223.3000496771035,ssb-flat,10
delta,presto,ssb_flat_q_22,0.850606851175;0.8386259325625;974.0;8.0;12|,1134.6350263051693,ssb-flat,10
delta,presto,ssb_flat_q_22,0.5;0.5;256.0;1.0;1|,2648.2033726634622,ssb-flat,10
delta,presto,ssb_flat_q_22,0.7923849821091;0.6932743646204;452.0;3.0;8|,1274.3476636433747,ssb-flat,10
delta,presto,ssb_flat_q_22,0.626732327192;0.3159100175413;290.0;2.0;18|,1688.422399939736,ssb-flat,10
delta,presto,ssb_flat_q_22,0.499345510453;0.2490164503455;923.0;7.0;60|,1597.9618416497885,ssb-flat,10
delta,presto,ssb_flat_q_22,0.5572662850396;0.2808265875596;422.0;5.0;13|,1146.7775963543588,ssb-flat,10
delta,presto,ssb_flat_q_22,0.8255735280335;0.5810043788473;265.0;8.0;24|,1657.3208260064655,ssb-flat,10
delta,presto,ssb_flat_q_22,0.2939231281018;0.8072550698589;277.0;7.0;35|,1114.2435803914143,ssb-flat,10
delta,presto,ssb_flat_q_22,0.2225872804112;0.3117094553633;322.0;5.0;18|,1069.1702426588874,ssb-flat,10
delta,presto,ssb_flat_q_27,0.3020444849932;0.4933289004306;805.0;8.0;17|,1892.1226129345855,ssb-flat,10
delta,presto,ssb_flat_q_27,0.850606851175;0.8386259325625;974.0;8.0;12|,1765.846226060156,ssb-flat,10
delta,presto,ssb_flat_q_27,0.7923849821091;0.6932743646204;452.0;3.0;8|,1920.1719437771426,ssb-flat,10
delta,presto,ssb_flat_q_27,0.626732327192;0.3159100175413;290.0;2.0;18|,1569.5608641150495,ssb-flat,10
delta,presto,ssb_flat_q_27,0.8255735280335;0.5810043788473;265.0;8.0;24|,1523.0950806180876,ssb-flat,10
delta,presto,ssb_flat_q_27,0.2939231281018;0.8072550698589;277.0;7.0;35|,1544.4895960441957,ssb-flat,10
delta,presto,ssb_flat_q_27,0.2225872804112;0.3117094553633;322.0;5.0;18|,1429.763323173794,ssb-flat,10
delta,presto,ssb_flat_queries,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,2831.47,ssb-flat,10
delta,presto,ssb_flat_queries,0.499345510453;0.2490164503455;923.0;7.0;60|3372.0MB;947.0MB;921.0;11534336.0,2652.95,ssb-flat,10
delta,presto,ssb_flat_queries,0.7923849821091;0.6932743646204;452.0;3.0;8|221.0MB;404.0MB;285.0;83886080.0,2883.16,ssb-flat,10
delta,presto,ssb_flat_queries,0.1967485295327;0.8339510093593;769.0;1.0;35|831.0MB;694.0MB;40.0;9437184.0,8972.38,ssb-flat,10
delta,presto,ssb_flat_queries,0.3020444849932;0.4933289004306;805.0;8.0;17|88.0MB;397.0MB;410.0;23068672.0,2577.57,ssb-flat,10
delta,presto,ssb_flat_queries,0.850606851175;0.8386259325625;974.0;8.0;12|2737.0MB;45.0MB;758.0;9437184.0,2756.45,ssb-flat,10
delta,presto,ssb_flat_queries,0.5572662850396;0.2808265875596;422.0;5.0;13|1365.0MB;262.0MB;781.0;13631488.0,2434.15,ssb-flat,10
delta,presto,ssb_flat_queries,0.626732327192;0.3159100175413;290.0;2.0;18|3794.0MB;45.0MB;106.0;29360128.0,2573.81,ssb-flat,10
delta,presto,ssb_flat_queries,0.8255735280335;0.5810043788473;265.0;8.0;24|3185.0MB;519.0MB;696.0;93323264.0,2266.62,ssb-flat,10
delta,presto,ssb_flat_queries,0.2225872804112;0.3117094553633;322.0;5.0;18|2234.0MB;521.0MB;4.0;71303168.0,2423.73,ssb-flat,10
delta,presto,ssb_flat_queries,0.2939231281018;0.8072550698589;277.0;7.0;35|1233.0MB;478.0MB;378.0;16777216.0,2653.94,ssb-flat,10
delta,presto,ssb_flat_q_12,0.2939231281018;0.8072550698589;277.0;7.0;35|1233.0MB;478.0MB;378.0;16777216.0,2637.15,ssb-flat,10
delta,presto,ssb_flat_q_11,0.2939231281018;0.8072550698589;277.0;7.0;35|1233.0MB;478.0MB;378.0;16777216.0,2446.76,ssb-flat,10
delta,presto,ssb_flat_q_26,0.3020444849932;0.4933289004306;805.0;8.0;17|,1304.78,ssb-flat,10
delta,presto,ssb_flat_q_11,0.3020444849932;0.4933289004306;805.0;8.0;17|,1147.22,ssb-flat,10
delta,presto,ssb_flat_q_02,0.3020444849932;0.4933289004306;805.0;8.0;17|,1282.54,ssb-flat,10
delta,presto,ssb_flat_q_16,0.3020444849932;0.4933289004306;805.0;8.0;17|,1154.4,ssb-flat,10
delta,presto,ssb_flat_q_23,0.3020444849932;0.4933289004306;805.0;8.0;17|,1125.51,ssb-flat,10
delta,presto,ssb_flat_q_08,0.3020444849932;0.4933289004306;805.0;8.0;17|,1122.06,ssb-flat,10
delta,presto,ssb_flat_q_06,0.3020444849932;0.4933289004306;805.0;8.0;17|,1194.3,ssb-flat,10
delta,presto,ssb_flat_queries,0.3020444849932;0.4933289004306;805.0;8.0;17|,1111.07,ssb-flat,10
delta,presto,ssb_flat_q_24,0.3020444849932;0.4933289004306;805.0;8.0;17|,1112.78,ssb-flat,10
delta,presto,ssb_flat_q_01,0.3020444849932;0.4933289004306;805.0;8.0;17|,1308.96,ssb-flat,10
delta,presto,ssb_flat_q_13,0.3020444849932;0.4933289004306;805.0;8.0;17|,1246.43,ssb-flat,10
delta,presto,ssb_flat_q_19,0.3020444849932;0.4933289004306;805.0;8.0;17|,1178.32,ssb-flat,10
delta,presto,ssb_flat_q_04,0.3020444849932;0.4933289004306;805.0;8.0;17|,1148.42,ssb-flat,10
delta,presto,ssb_flat_q_25,0.3020444849932;0.4933289004306;805.0;8.0;17|,1103.18,ssb-flat,10
delta,presto,ssb_flat_q_07,0.3020444849932;0.4933289004306;805.0;8.0;17|,1140.03,ssb-flat,10
delta,presto,ssb_flat_q_20,0.3020444849932;0.4933289004306;805.0;8.0;17|,1281.4,ssb-flat,10
delta,presto,ssb_flat_q_12,0.3020444849932;0.4933289004306;805.0;8.0;17|,1229.73,ssb-flat,10
delta,presto,ssb_flat_q_03,0.3020444849932;0.4933289004306;805.0;8.0;17|,1315.15,ssb-flat,10
delta,presto,ssb_flat_q_10,0.3020444849932;0.4933289004306;805.0;8.0;17|,1151.07,ssb-flat,10
delta,presto,ssb_flat_q_26,0.850606851175;0.8386259325625;974.0;8.0;12|,1180.64,ssb-flat,10
delta,presto,ssb_flat_q_11,0.850606851175;0.8386259325625;974.0;8.0;12|,1133.31,ssb-flat,10
delta,presto,ssb_flat_q_02,0.850606851175;0.8386259325625;974.0;8.0;12|,1221.46,ssb-flat,10
delta,presto,ssb_flat_q_16,0.850606851175;0.8386259325625;974.0;8.0;12|,1292.3,ssb-flat,10
delta,presto,ssb_flat_q_23,0.850606851175;0.8386259325625;974.0;8.0;12|,1355.71,ssb-flat,10
delta,presto,ssb_flat_q_08,0.850606851175;0.8386259325625;974.0;8.0;12|,1244.77,ssb-flat,10
delta,presto,ssb_flat_q_06,0.850606851175;0.8386259325625;974.0;8.0;12|,1239.76,ssb-flat,10
delta,presto,ssb_flat_queries,0.850606851175;0.8386259325625;974.0;8.0;12|,1291.05,ssb-flat,10
delta,presto,ssb_flat_q_24,0.850606851175;0.8386259325625;974.0;8.0;12|,1271.18,ssb-flat,10
delta,presto,ssb_flat_q_01,0.850606851175;0.8386259325625;974.0;8.0;12|,1219.52,ssb-flat,10
delta,presto,ssb_flat_q_13,0.850606851175;0.8386259325625;974.0;8.0;12|,1243.11,ssb-flat,10
delta,presto,ssb_flat_q_19,0.850606851175;0.8386259325625;974.0;8.0;12|,1202.07,ssb-flat,10
delta,presto,ssb_flat_q_04,0.850606851175;0.8386259325625;974.0;8.0;12|,1156.73,ssb-flat,10
delta,presto,ssb_flat_q_25,0.850606851175;0.8386259325625;974.0;8.0;12|,1220.58,ssb-flat,10
delta,presto,ssb_flat_q_07,0.850606851175;0.8386259325625;974.0;8.0;12|,1250.53,ssb-flat,10
delta,presto,ssb_flat_q_20,0.850606851175;0.8386259325625;974.0;8.0;12|,1195.13,ssb-flat,10
delta,presto,ssb_flat_q_12,0.850606851175;0.8386259325625;974.0;8.0;12|,1162.52,ssb-flat,10
delta,presto,ssb_flat_q_03,0.850606851175;0.8386259325625;974.0;8.0;12|,1328.45,ssb-flat,10
delta,presto,ssb_flat_q_10,0.850606851175;0.8386259325625;974.0;8.0;12|,1268.43,ssb-flat,10
delta,presto,ssb_flat_q_26,0.5;0.5;256.0;1.0;1|,2196.01,ssb-flat,10
delta,presto,ssb_flat_q_11,0.5;0.5;256.0;1.0;1|,2185.99,ssb-flat,10
delta,presto,ssb_flat_q_02,0.5;0.5;256.0;1.0;1|,2118.58,ssb-flat,10
delta,presto,ssb_flat_q_27,0.5;0.5;256.0;1.0;1|,2179.45,ssb-flat,10
delta,presto,ssb_flat_q_16,0.5;0.5;256.0;1.0;1|,2146.89,ssb-flat,10
delta,presto,ssb_flat_q_23,0.5;0.5;256.0;1.0;1|,1947.13,ssb-flat,10
delta,presto,ssb_flat_q_08,0.5;0.5;256.0;1.0;1|,2239.5,ssb-flat,10
delta,presto,ssb_flat_q_06,0.5;0.5;256.0;1.0;1|,2116.66,ssb-flat,10
delta,presto,ssb_flat_queries,0.5;0.5;256.0;1.0;1|,2225.42,ssb-flat,10
delta,presto,ssb_flat_q_15,0.5;0.5;256.0;1.0;1|,2024.8,ssb-flat,10
delta,presto,ssb_flat_q_24,0.5;0.5;256.0;1.0;1|,2059.7,ssb-flat,10
delta,presto,ssb_flat_q_01,0.5;0.5;256.0;1.0;1|,2189.53,ssb-flat,10
delta,presto,ssb_flat_q_13,0.5;0.5;256.0;1.0;1|,2250.77,ssb-flat,10
delta,presto,ssb_flat_q_19,0.5;0.5;256.0;1.0;1|,2013.5,ssb-flat,10
delta,presto,ssb_flat_q_04,0.5;0.5;256.0;1.0;1|,2119.91,ssb-flat,10
delta,presto,ssb_flat_q_25,0.5;0.5;256.0;1.0;1|,2197.64,ssb-flat,10
delta,presto,ssb_flat_q_07,0.5;0.5;256.0;1.0;1|,2001.96,ssb-flat,10
delta,presto,ssb_flat_q_20,0.5;0.5;256.0;1.0;1|,2024.15,ssb-flat,10
delta,presto,ssb_flat_q_12,0.5;0.5;256.0;1.0;1|,2194.18,ssb-flat,10
delta,presto,ssb_flat_q_03,0.5;0.5;256.0;1.0;1|,2169.99,ssb-flat,10
delta,presto,ssb_flat_q_10,0.5;0.5;256.0;1.0;1|,1983.37,ssb-flat,10
delta,presto,ssb_flat_q_26,0.7923849821091;0.6932743646204;452.0;3.0;8|,1349.14,ssb-flat,10
delta,presto,ssb_flat_q_11,0.7923849821091;0.6932743646204;452.0;3.0;8|,1274.44,ssb-flat,10
delta,presto,ssb_flat_q_02,0.7923849821091;0.6932743646204;452.0;3.0;8|,1381.84,ssb-flat,10
delta,presto,ssb_flat_q_16,0.7923849821091;0.6932743646204;452.0;3.0;8|,1284.24,ssb-flat,10
delta,presto,ssb_flat_q_23,0.7923849821091;0.6932743646204;452.0;3.0;8|,1187.43,ssb-flat,10
delta,presto,ssb_flat_q_08,0.7923849821091;0.6932743646204;452.0;3.0;8|,1302.65,ssb-flat,10
delta,presto,ssb_flat_q_06,0.7923849821091;0.6932743646204;452.0;3.0;8|,1322.75,ssb-flat,10
delta,presto,ssb_flat_queries,0.7923849821091;0.6932743646204;452.0;3.0;8|,1332.98,ssb-flat,10
delta,presto,ssb_flat_q_24,0.7923849821091;0.6932743646204;452.0;3.0;8|,1207.36,ssb-flat,10
delta,presto,ssb_flat_q_01,0.7923849821091;0.6932743646204;452.0;3.0;8|,1272.56,ssb-flat,10
delta,presto,ssb_flat_q_13,0.7923849821091;0.6932743646204;452.0;3.0;8|,1290.22,ssb-flat,10
delta,presto,ssb_flat_q_19,0.7923849821091;0.6932743646204;452.0;3.0;8|,1189.69,ssb-flat,10
delta,presto,ssb_flat_q_04,0.7923849821091;0.6932743646204;452.0;3.0;8|,1278.16,ssb-flat,10
delta,presto,ssb_flat_q_25,0.7923849821091;0.6932743646204;452.0;3.0;8|,1317.59,ssb-flat,10
delta,presto,ssb_flat_q_07,0.7923849821091;0.6932743646204;452.0;3.0;8|,1273.3,ssb-flat,10
delta,presto,ssb_flat_q_20,0.7923849821091;0.6932743646204;452.0;3.0;8|,1280.27,ssb-flat,10
delta,presto,ssb_flat_q_12,0.7923849821091;0.6932743646204;452.0;3.0;8|,1214.72,ssb-flat,10
delta,presto,ssb_flat_q_03,0.7923849821091;0.6932743646204;452.0;3.0;8|,1203.33,ssb-flat,10
delta,presto,ssb_flat_q_10,0.7923849821091;0.6932743646204;452.0;3.0;8|,1348.35,ssb-flat,10
delta,presto,ssb_flat_q_26,0.626732327192;0.3159100175413;290.0;2.0;18|,1339.27,ssb-flat,10
delta,presto,ssb_flat_q_11,0.626732327192;0.3159100175413;290.0;2.0;18|,1340.92,ssb-flat,10
delta,presto,ssb_flat_q_02,0.626732327192;0.3159100175413;290.0;2.0;18|,1409.87,ssb-flat,10
delta,presto,ssb_flat_q_16,0.626732327192;0.3159100175413;290.0;2.0;18|,1429.14,ssb-flat,10
delta,presto,ssb_flat_q_23,0.626732327192;0.3159100175413;290.0;2.0;18|,1325.42,ssb-flat,10
delta,presto,ssb_flat_q_08,0.626732327192;0.3159100175413;290.0;2.0;18|,1383.13,ssb-flat,10
delta,presto,ssb_flat_q_06,0.626732327192;0.3159100175413;290.0;2.0;18|,1249.58,ssb-flat,10
delta,presto,ssb_flat_queries,0.626732327192;0.3159100175413;290.0;2.0;18|,1298.55,ssb-flat,10
delta,presto,ssb_flat_q_15,0.626732327192;0.3159100175413;290.0;2.0;18|,1363.79,ssb-flat,10
delta,presto,ssb_flat_q_24,0.626732327192;0.3159100175413;290.0;2.0;18|,1178.13,ssb-flat,10
delta,presto,ssb_flat_q_01,0.626732327192;0.3159100175413;290.0;2.0;18|,1244.79,ssb-flat,10
delta,presto,ssb_flat_q_13,0.626732327192;0.3159100175413;290.0;2.0;18|,1230.59,ssb-flat,10
delta,presto,ssb_flat_q_19,0.626732327192;0.3159100175413;290.0;2.0;18|,1230.14,ssb-flat,10
delta,presto,ssb_flat_q_04,0.626732327192;0.3159100175413;290.0;2.0;18|,1421.61,ssb-flat,10
delta,presto,ssb_flat_q_25,0.626732327192;0.3159100175413;290.0;2.0;18|,1362.3,ssb-flat,10
delta,presto,ssb_flat_q_07,0.626732327192;0.3159100175413;290.0;2.0;18|,1272.71,ssb-flat,10
delta,presto,ssb_flat_q_20,0.626732327192;0.3159100175413;290.0;2.0;18|,1376.21,ssb-flat,10
delta,presto,ssb_flat_q_12,0.626732327192;0.3159100175413;290.0;2.0;18|,1290.7,ssb-flat,10
delta,presto,ssb_flat_q_03,0.626732327192;0.3159100175413;290.0;2.0;18|,1198.21,ssb-flat,10
delta,presto,ssb_flat_q_10,0.626732327192;0.3159100175413;290.0;2.0;18|,1285.18,ssb-flat,10
delta,presto,ssb_flat_q_26,0.499345510453;0.2490164503455;923.0;7.0;60|,1349.6,ssb-flat,10
delta,presto,ssb_flat_q_11,0.499345510453;0.2490164503455;923.0;7.0;60|,1265.3,ssb-flat,10
delta,presto,ssb_flat_q_02,0.499345510453;0.2490164503455;923.0;7.0;60|,1445.7,ssb-flat,10
delta,presto,ssb_flat_q_27,0.499345510453;0.2490164503455;923.0;7.0;60|,1290.97,ssb-flat,10
delta,presto,ssb_flat_q_16,0.499345510453;0.2490164503455;923.0;7.0;60|,1335.78,ssb-flat,10
delta,presto,ssb_flat_q_23,0.499345510453;0.2490164503455;923.0;7.0;60|,1470.77,ssb-flat,10
delta,presto,ssb_flat_q_08,0.499345510453;0.2490164503455;923.0;7.0;60|,1429.35,ssb-flat,10
delta,presto,ssb_flat_q_06,0.499345510453;0.2490164503455;923.0;7.0;60|,1284.46,ssb-flat,10
delta,presto,ssb_flat_queries,0.499345510453;0.2490164503455;923.0;7.0;60|,1234.9,ssb-flat,10
delta,presto,ssb_flat_q_24,0.499345510453;0.2490164503455;923.0;7.0;60|,1351.1,ssb-flat,10
delta,presto,ssb_flat_q_01,0.499345510453;0.2490164503455;923.0;7.0;60|,1368.77,ssb-flat,10
delta,presto,ssb_flat_q_13,0.499345510453;0.2490164503455;923.0;7.0;60|,1482.48,ssb-flat,10
delta,presto,ssb_flat_q_19,0.499345510453;0.2490164503455;923.0;7.0;60|,1280.93,ssb-flat,10
delta,presto,ssb_flat_q_04,0.499345510453;0.2490164503455;923.0;7.0;60|,1283.2,ssb-flat,10
delta,presto,ssb_flat_q_25,0.499345510453;0.2490164503455;923.0;7.0;60|,1434.27,ssb-flat,10
delta,presto,ssb_flat_q_07,0.499345510453;0.2490164503455;923.0;7.0;60|,1422.3,ssb-flat,10
delta,presto,ssb_flat_q_20,0.499345510453;0.2490164503455;923.0;7.0;60|,1382.69,ssb-flat,10
delta,presto,ssb_flat_q_12,0.499345510453;0.2490164503455;923.0;7.0;60|,1245.13,ssb-flat,10
delta,presto,ssb_flat_q_03,0.499345510453;0.2490164503455;923.0;7.0;60|,1360.46,ssb-flat,10
delta,presto,ssb_flat_q_10,0.499345510453;0.2490164503455;923.0;7.0;60|,1429.76,ssb-flat,10
delta,presto,ssb_flat_q_26,0.5572662850396;0.2808265875596;422.0;5.0;13|,1018.92,ssb-flat,10
delta,presto,ssb_flat_q_11,0.5572662850396;0.2808265875596;422.0;5.0;13|,959.86,ssb-flat,10
delta,presto,ssb_flat_q_02,0.5572662850396;0.2808265875596;422.0;5.0;13|,970.46,ssb-flat,10
delta,presto,ssb_flat_q_27,0.5572662850396;0.2808265875596;422.0;5.0;13|,1010.59,ssb-flat,10
delta,presto,ssb_flat_q_16,0.5572662850396;0.2808265875596;422.0;5.0;13|,902.5,ssb-flat,10
delta,presto,ssb_flat_q_23,0.5572662850396;0.2808265875596;422.0;5.0;13|,987.21,ssb-flat,10
delta,presto,ssb_flat_q_08,0.5572662850396;0.2808265875596;422.0;5.0;13|,977.39,ssb-flat,10
delta,presto,ssb_flat_q_06,0.5572662850396;0.2808265875596;422.0;5.0;13|,1064.98,ssb-flat,10
delta,presto,ssb_flat_queries,0.5572662850396;0.2808265875596;422.0;5.0;13|,908.27,ssb-flat,10
delta,presto,ssb_flat_q_24,0.5572662850396;0.2808265875596;422.0;5.0;13|,963.62,ssb-flat,10
delta,presto,ssb_flat_q_01,0.5572662850396;0.2808265875596;422.0;5.0;13|,963.43,ssb-flat,10
delta,presto,ssb_flat_q_13,0.5572662850396;0.2808265875596;422.0;5.0;13|,1078.75,ssb-flat,10
delta,presto,ssb_flat_q_19,0.5572662850396;0.2808265875596;422.0;5.0;13|,1001.02,ssb-flat,10
delta,presto,ssb_flat_q_04,0.5572662850396;0.2808265875596;422.0;5.0;13|,982.03,ssb-flat,10
delta,presto,ssb_flat_q_25,0.5572662850396;0.2808265875596;422.0;5.0;13|,931.23,ssb-flat,10
delta,presto,ssb_flat_q_07,0.5572662850396;0.2808265875596;422.0;5.0;13|,1033.82,ssb-flat,10
delta,presto,ssb_flat_q_20,0.5572662850396;0.2808265875596;422.0;5.0;13|,910.96,ssb-flat,10
delta,presto,ssb_flat_q_12,0.5572662850396;0.2808265875596;422.0;5.0;13|,897.29,ssb-flat,10
delta,presto,ssb_flat_q_03,0.5572662850396;0.2808265875596;422.0;5.0;13|,1054.54,ssb-flat,10
delta,presto,ssb_flat_q_10,0.5572662850396;0.2808265875596;422.0;5.0;13|,1045.04,ssb-flat,10
delta,presto,ssb_flat_q_26,0.8255735280335;0.5810043788473;265.0;8.0;24|,1364.06,ssb-flat,10
delta,presto,ssb_flat_q_11,0.8255735280335;0.5810043788473;265.0;8.0;24|,1317.54,ssb-flat,10
delta,presto,ssb_flat_q_02,0.8255735280335;0.5810043788473;265.0;8.0;24|,1274.16,ssb-flat,10
delta,presto,ssb_flat_q_16,0.8255735280335;0.5810043788473;265.0;8.0;24|,1402.11,ssb-flat,10
delta,presto,ssb_flat_q_23,0.8255735280335;0.5810043788473;265.0;8.0;24|,1304.18,ssb-flat,10
delta,presto,ssb_flat_q_08,0.8255735280335;0.5810043788473;265.0;8.0;24|,1285.93,ssb-flat,10
delta,presto,ssb_flat_q_06,0.8255735280335;0.5810043788473;265.0;8.0;24|,1458.33,ssb-flat,10
delta,presto,ssb_flat_queries,0.8255735280335;0.5810043788473;265.0;8.0;24|,1204.59,ssb-flat,10
delta,presto,ssb_flat_q_24,0.8255735280335;0.5810043788473;265.0;8.0;24|,1272.91,ssb-flat,10
delta,presto,ssb_flat_q_01,0.8255735280335;0.5810043788473;265.0;8.0;24|,1358.53,ssb-flat,10
delta,presto,ssb_flat_q_13,0.8255735280335;0.5810043788473;265.0;8.0;24|,1264.12,ssb-flat,10
delta,presto,ssb_flat_q_19,0.8255735280335;0.5810043788473;265.0;8.0;24|,1395.97,ssb-flat,10
delta,presto,ssb_flat_q_04,0.8255735280335;0.5810043788473;265.0;8.0;24|,1397.39,ssb-flat,10
delta,presto,ssb_flat_q_25,0.8255735280335;0.5810043788473;265.0;8.0;24|,1352.09,ssb-flat,10
delta,presto,ssb_flat_q_07,0.8255735280335;0.5810043788473;265.0;8.0;24|,1350.24,ssb-flat,10
