datalake,engine,query name,conf,latency,benchmark,sf
iceberg,presto,q1_3,16;200;20;18;18;32;32,9552.0,ssb-flat,100
iceberg,presto,q2_1,16;200;20;18;18;32;32,48858.0,ssb-flat,100
iceberg,presto,q2_2,16;200;20;18;18;32;32,40036.0,ssb-flat,100
iceberg,presto,q2_3,16;200;20;18;18;32;32,28534.0,ssb-flat,100
iceberg,presto,q3_1,16;200;20;18;18;32;32,34263.0,ssb-flat,100
iceberg,presto,q3_2,16;200;20;18;18;32;32,35635.0,ssb-flat,100
iceberg,presto,q3_3,16;200;20;18;18;32;32,33673.0,ssb-flat,100
iceberg,presto,q3_4,16;200;20;18;18;32;32,16280.0,ssb-flat,100
iceberg,presto,q4_1,16;200;20;18;18;32;32,57057.0,ssb-flat,100
iceberg,presto,q4_2,16;200;20;18;18;32;32,13135.0,ssb-flat,100
iceberg,presto,q4_3,16;200;20;18;18;32;32,17653.0,ssb-flat,100
iceberg,presto,q1_1,16;200;20;18;18;32;32,12345.0,ssb-flat,100
iceberg,presto,q1_2,16;200;20;18;18;32;32,16550.0,ssb-flat,100
iceberg,presto,q1_3,16;200;20;18;18;32;32,8570.0,ssb-flat,100
iceberg,presto,q2_1,16;200;20;18;18;32;32,38903.0,ssb-flat,100
iceberg,presto,q2_2,16;200;20;18;18;32;32,31937.0,ssb-flat,100
iceberg,presto,q2_3,16;200;20;18;18;32;32,21305.0,ssb-flat,100
iceberg,presto,q3_1,16;200;20;18;18;32;32,29456.0,ssb-flat,100
iceberg,presto,q3_2,16;200;20;18;18;32;32,38986.0,ssb-flat,100
iceberg,presto,q3_3,16;200;20;18;18;32;32,32598.0,ssb-flat,100
iceberg,presto,q3_4,16;200;20;18;18;32;32,11039.0,ssb-flat,100
iceberg,presto,q4_1,16;200;20;18;18;32;32,74860.0,ssb-flat,100
iceberg,presto,q4_2,16;200;20;18;18;32;32,17519.0,ssb-flat,100
iceberg,presto,q4_3,16;200;20;18;18;32;32,25041.0,ssb-flat,100
iceberg,presto,q1_1,16;200;20;18;18;32;32,23550.0,ssb-flat,100
iceberg,presto,q1_2,16;200;20;18;18;32;32,17396.0,ssb-flat,100
iceberg,presto,q1_3,16;200;20;18;18;32;32,17465.0,ssb-flat,100
iceberg,presto,q2_1,16;200;20;18;18;32;32,51928.0,ssb-flat,100
iceberg,presto,q2_2,16;200;20;18;18;32;32,34284.0,ssb-flat,100
iceberg,presto,q2_3,16;200;20;18;18;32;32,26676.0,ssb-flat,100
iceberg,presto,q3_1,16;200;20;18;18;32;32,47330.0,ssb-flat,100
iceberg,presto,q3_2,16;200;20;18;18;32;32,59270.0,ssb-flat,100
iceberg,presto,q3_3,16;200;20;18;18;32;32,46803.0,ssb-flat,100
iceberg,presto,q3_4,16;200;20;18;18;32;32,11619.0,ssb-flat,100
iceberg,presto,q4_1,16;200;20;18;18;32;32,57749.0,ssb-flat,100
iceberg,presto,q4_2,16;200;20;18;18;32;32,11700.0,ssb-flat,100
iceberg,presto,q4_3,16;200;20;18;18;32;32,17111.0,ssb-flat,100
iceberg,presto,q1_1,16;200;20;18;18;32;32,8052.0,ssb-flat,100
iceberg,presto,q1_2,16;200;20;18;18;32;32,9589.0,ssb-flat,100
iceberg,presto,q1_3,16;200;20;18;18;32;32,9031.0,ssb-flat,100
iceberg,presto,q2_1,16;200;20;18;18;32;32,46333.0,ssb-flat,100
iceberg,presto,q2_2,16;200;20;18;18;32;32,32797.0,ssb-flat,100
iceberg,presto,q2_3,16;200;20;18;18;32;32,23957.0,ssb-flat,100
iceberg,presto,q3_1,16;200;20;18;18;32;32,30136.0,ssb-flat,100
iceberg,presto,q3_2,16;200;20;18;18;32;32,35400.0,ssb-flat,100
iceberg,presto,q3_3,16;200;20;18;18;32;32,28280.0,ssb-flat,100
iceberg,presto,q3_4,16;200;20;18;18;32;32,7266.0,ssb-flat,100
iceberg,presto,q4_1,16;200;20;18;18;32;32,37868.0,ssb-flat,100
iceberg,presto,q4_2,16;200;20;18;18;32;32,9180.0,ssb-flat,100
iceberg,presto,q4_3,16;200;20;18;18;32;32,10057.0,ssb-flat,100
iceberg,presto,q1_1,16;200;20;18;18;32;32,10677.0,ssb-flat,100
iceberg,presto,q1_2,16;200;20;18;18;32;32,11895.0,ssb-flat,100
iceberg,presto,q1_3,16;200;20;18;18;32;32,7556.0,ssb-flat,100
iceberg,presto,q2_1,16;200;20;18;18;32;32,43653.0,ssb-flat,100
iceberg,presto,q2_2,16;200;20;18;18;32;32,36140.0,ssb-flat,100
iceberg,presto,q2_3,16;200;20;18;18;32;32,27547.0,ssb-flat,100
iceberg,presto,q3_1,16;200;20;18;18;32;32,36519.0,ssb-flat,100
iceberg,presto,q3_2,16;200;20;18;18;32;32,44144.0,ssb-flat,100
iceberg,presto,q3_3,16;200;20;18;18;32;32,34097.0,ssb-flat,100
iceberg,presto,q3_4,16;200;20;18;18;32;32,14066.0,ssb-flat,100
iceberg,presto,q4_1,16;200;20;18;18;32;32,57864.0,ssb-flat,100
iceberg,presto,q4_2,16;200;20;18;18;32;32,20512.0,ssb-flat,100
iceberg,presto,q4_3,16;200;20;18;18;32;32,22413.0,ssb-flat,100
iceberg,presto,q1_1,16;200;20;18;18;32;32,9260.0,ssb-flat,100
iceberg,presto,q1_2,16;200;20;18;18;32;32,14243.0,ssb-flat,100
iceberg,presto,q1_3,16;200;20;18;18;32;32,10598.0,ssb-flat,100
iceberg,presto,q2_1,16;200;20;18;18;32;32,47717.0,ssb-flat,100
iceberg,presto,q2_2,16;200;20;18;18;32;32,35872.0,ssb-flat,100
iceberg,presto,q2_3,16;200;20;18;18;32;32,27606.0,ssb-flat,100
iceberg,presto,q3_1,16;200;20;18;18;32;32,34241.0,ssb-flat,100
iceberg,presto,q3_2,16;200;20;18;18;32;32,39723.0,ssb-flat,100
iceberg,presto,q3_3,16;200;20;18;18;32;32,31891.0,ssb-flat,100
iceberg,presto,q3_4,16;200;20;18;18;32;32,11672.0,ssb-flat,100
iceberg,presto,q4_1,16;200;20;18;18;32;32,52399.0,ssb-flat,100
iceberg,presto,q4_2,16;200;20;18;18;32;32,10123.0,ssb-flat,100
iceberg,presto,q4_3,16;200;20;18;18;32;32,13811.0,ssb-flat,100
iceberg,presto,q1_1,16;200;20;18;18;32;32,7689.0,ssb-flat,100
iceberg,presto,q1_2,16;200;20;18;18;32;32,9602.0,ssb-flat,100
iceberg,presto,q1_3,16;200;20;18;18;32;32,7495.0,ssb-flat,100
iceberg,presto,q2_1,16;200;20;18;18;32;32,42688.0,ssb-flat,100
iceberg,presto,q2_2,16;200;20;18;18;32;32,25584.0,ssb-flat,100
iceberg,presto,q2_3,16;200;20;18;18;32;32,19908.0,ssb-flat,100
iceberg,presto,q3_1,16;200;20;18;18;32;32,21414.0,ssb-flat,100
iceberg,presto,q3_2,16;200;20;18;18;32;32,23367.0,ssb-flat,100
iceberg,presto,q3_3,16;200;20;18;18;32;32,18855.0,ssb-flat,100
iceberg,presto,q3_4,16;200;20;18;18;32;32,5610.0,ssb-flat,100
iceberg,presto,q4_1,16;200;20;18;18;32;32,34043.0,ssb-flat,100
iceberg,presto,q4_2,16;200;20;18;18;32;32,10347.0,ssb-flat,100
iceberg,presto,q4_3,16;200;20;18;18;32;32,10474.0,ssb-flat,100
iceberg,presto,q1_1,16;200;20;18;18;32;32,9935.0,ssb-flat,100
iceberg,presto,q1_2,16;200;20;18;18;32;32,12410.0,ssb-flat,100
iceberg,presto,q1_3,16;200;20;18;18;32;32,10077.0,ssb-flat,100
iceberg,presto,q2_1,16;200;20;18;18;32;32,44198.0,ssb-flat,100
iceberg,presto,q2_2,16;200;20;18;18;32;32,31013.0,ssb-flat,100
iceberg,presto,q2_3,16;200;20;18;18;32;32,23764.0,ssb-flat,100
iceberg,presto,q3_1,16;200;20;18;18;32;32,24018.0,ssb-flat,100
iceberg,presto,q3_2,16;200;20;18;18;32;32,23513.0,ssb-flat,100
iceberg,presto,q3_3,16;200;20;18;18;32;32,18445.0,ssb-flat,100
iceberg,presto,q3_4,16;200;20;18;18;32;32,4854.0,ssb-flat,100
iceberg,presto,q4_1,16;200;20;18;18;32;32,38911.0,ssb-flat,100
iceberg,presto,q4_2,16;200;20;18;18;32;32,13973.0,ssb-flat,100
iceberg,presto,q4_3,16;200;20;18;18;32;32,12437.0,ssb-flat,100
iceberg,presto,q1_1,16;200;20;18;18;32;32,9485.0,ssb-flat,100
iceberg,presto,q1_2,16;200;20;18;18;32;32,14162.0,ssb-flat,100
iceberg,presto,q1_3,16;200;20;18;18;32;32,8698.0,ssb-flat,100
iceberg,presto,q2_1,16;200;20;18;18;32;32,42408.0,ssb-flat,100
iceberg,presto,q2_2,16;200;20;18;18;32;32,25211.0,ssb-flat,100
iceberg,presto,q2_3,16;200;20;18;18;32;32,27815.0,ssb-flat,100
iceberg,presto,q3_1,16;200;20;18;18;32;32,29489.0,ssb-flat,100
iceberg,presto,q3_2,16;200;20;18;18;32;32,32182.0,ssb-flat,100
iceberg,presto,q3_3,16;200;20;18;18;32;32,28469.0,ssb-flat,100
iceberg,presto,q3_4,16;200;20;18;18;32;32,10967.0,ssb-flat,100
iceberg,presto,q4_1,16;200;20;18;18;32;32,42228.0,ssb-flat,100
iceberg,presto,q4_2,16;200;20;18;18;32;32,11816.0,ssb-flat,100
iceberg,presto,q4_3,16;200;20;18;18;32;32,10059.0,ssb-flat,100
iceberg,presto,q1_1,16;200;20;18;18;32;32,9939.0,ssb-flat,100
iceberg,presto,q1_2,16;200;20;18;18;32;32,15024.0,ssb-flat,100
iceberg,presto,q1_3,16;200;20;18;18;32;32,10546.0,ssb-flat,100
iceberg,presto,q2_1,16;200;20;18;18;32;32,41264.0,ssb-flat,100
iceberg,presto,q2_2,16;200;20;18;18;32;32,26425.0,ssb-flat,100
iceberg,presto,q2_3,16;200;20;18;18;32;32,19699.0,ssb-flat,100
iceberg,presto,q3_1,16;200;20;18;18;32;32,24656.0,ssb-flat,100
iceberg,presto,q3_2,16;200;20;18;18;32;32,24864.0,ssb-flat,100
iceberg,presto,q3_3,16;200;20;18;18;32;32,19024.0,ssb-flat,100
iceberg,presto,q3_4,16;200;20;18;18;32;32,7464.0,ssb-flat,100
iceberg,presto,q4_1,16;200;20;18;18;32;32,32919.0,ssb-flat,100
iceberg,presto,q4_2,16;200;20;18;18;32;32,10613.0,ssb-flat,100
iceberg,presto,q4_3,16;200;20;18;18;32;32,13447.0,ssb-flat,100
iceberg,presto,q1_1,16;200;20;18;18;32;32,23396.0,ssb-flat,100
iceberg,presto,q1_2,16;200;20;18;18;32;32,29655.0,ssb-flat,100
iceberg,presto,q1_3,16;200;20;18;18;32;32,8122.0,ssb-flat,100
iceberg,presto,q2_1,16;200;20;18;18;32;32,113616.0,ssb-flat,100
iceberg,presto,q2_2,16;200;20;18;18;32;32,53111.0,ssb-flat,100
iceberg,presto,q2_3,16;200;20;18;18;32;32,45691.0,ssb-flat,100
iceberg,presto,q3_1,16;200;20;18;18;32;32,67897.0,ssb-flat,100
iceberg,presto,q3_2,16;200;20;18;18;32;32,69248.0,ssb-flat,100
iceberg,presto,q3_3,16;200;20;18;18;32;32,35697.0,ssb-flat,100
iceberg,presto,q3_4,16;200;20;18;18;32;32,7695.0,ssb-flat,100
iceberg,presto,q4_1,16;200;20;18;18;32;32,53721.0,ssb-flat,100
iceberg,presto,q4_2,16;200;20;18;18;32;32,16072.0,ssb-flat,100
iceberg,presto,q4_3,16;200;20;18;18;32;32,16249.0,ssb-flat,100
iceberg,presto,q1_1,16;200;20;18;18;32;32,11698.0,ssb-flat,100
iceberg,presto,q1_2,16;200;20;18;18;32;32,16787.0,ssb-flat,100
iceberg,presto,q1_3,16;200;20;18;18;32;32,10705.0,ssb-flat,100
iceberg,presto,q2_1,16;200;20;18;18;32;32,53777.0,ssb-flat,100
iceberg,presto,q2_2,16;200;20;18;18;32;32,31545.0,ssb-flat,100
iceberg,presto,q2_3,16;200;20;18;18;32;32,27487.0,ssb-flat,100
iceberg,presto,q3_1,16;200;20;18;18;32;32,35945.0,ssb-flat,100
iceberg,presto,q3_2,16;200;20;18;18;32;32,34413.0,ssb-flat,100
iceberg,presto,q3_3,16;200;20;18;18;32;32,29241.0,ssb-flat,100
iceberg,presto,q3_4,16;200;20;18;18;32;32,12526.0,ssb-flat,100
iceberg,presto,q4_1,16;200;20;18;18;32;32,59310.0,ssb-flat,100
iceberg,presto,q4_2,16;200;20;18;18;32;32,11891.0,ssb-flat,100
iceberg,presto,q4_3,16;200;20;18;18;32;32,19090.0,ssb-flat,100
iceberg,presto,q1_1,16;200;20;18;18;32;32,14262.0,ssb-flat,100
iceberg,presto,q1_2,16;200;20;18;18;32;32,10455.0,ssb-flat,100
iceberg,presto,q1_3,16;200;20;18;18;32;32,10121.0,ssb-flat,100
iceberg,presto,q2_1,16;200;20;18;18;32;32,52980.0,ssb-flat,100
iceberg,presto,q2_2,16;200;20;18;18;32;32,42373.0,ssb-flat,100
iceberg,presto,q2_3,16;200;20;18;18;32;32,30111.0,ssb-flat,100
iceberg,presto,q3_1,16;200;20;18;18;32;32,36331.0,ssb-flat,100
iceberg,presto,q3_2,16;200;20;18;18;32;32,43078.0,ssb-flat,100
iceberg,presto,q3_3,16;200;20;18;18;32;32,33179.0,ssb-flat,100
iceberg,presto,q3_4,16;200;20;18;18;32;32,14092.0,ssb-flat,100
iceberg,presto,q4_1,16;200;20;18;18;32;32,46847.0,ssb-flat,100
iceberg,presto,q4_2,16;200;20;18;18;32;32,13953.0,ssb-flat,100
iceberg,presto,q4_3,16;200;20;18;18;32;32,11954.0,ssb-flat,100
iceberg,presto,q1_1,16;200;20;18;18;32;32,10291.0,ssb-flat,100
iceberg,presto,q1_2,16;200;20;18;18;32;32,9173.0,ssb-flat,100
iceberg,presto,q1_3,16;200;20;18;18;32;32,8119.0,ssb-flat,100
iceberg,presto,q2_1,16;200;20;18;18;32;32,47462.0,ssb-flat,100
iceberg,presto,q2_2,16;200;20;18;18;32;32,29793.0,ssb-flat,100
iceberg,presto,q2_3,16;200;20;18;18;32;32,25263.0,ssb-flat,100
iceberg,presto,q3_1,16;200;20;18;18;32;32,38787.0,ssb-flat,100
iceberg,presto,q3_2,16;200;20;18;18;32;32,49725.0,ssb-flat,100
iceberg,presto,q3_3,16;200;20;18;18;32;32,34931.0,ssb-flat,100
