datalake,engine,query name,conf,latency,benchmark,sf
delta,spark,q4_3,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,12842.96,ssb-flat,100
delta,spark,q1_1,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,35244.48,ssb-flat,100
delta,spark,q1_2,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,10567.84,ssb-flat,100
delta,spark,q1_3,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,65855.35,ssb-flat,100
delta,spark,q2_1,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,31819.95,ssb-flat,100
delta,spark,q2_2,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,85437.25,ssb-flat,100
delta,spark,q2_3,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,27369.58,ssb-flat,100
delta,spark,q3_1,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,25414.64,ssb-flat,100
delta,spark,q3_2,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,70655.43,ssb-flat,100
delta,spark,q3_3,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,21149.75,ssb-flat,100
delta,spark,q3_4,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,14103.78,ssb-flat,100
delta,spark,q4_1,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,41486.31,ssb-flat,100
delta,spark,q4_2,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,98904.63,ssb-flat,100
delta,spark,q4_3,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,12848.11,ssb-flat,100
